code,name,terrestrial,freshwater,marine,oligohaline,status,eu_concern
R00001,Abax parallelus,1,0,0,0,A,0
R00003,Abelia x grandiflora,1,0,0,0,A,0
R00004,Abgrallaspis cyanophylli,1,0,0,0,C,0
R00005,Abies alba,1,0,0,0,A,0
R00006,Abies balsamea,1,0,0,0,A,0
R00007,Abies cephalonica,1,0,0,0,A,0
R00008,Abies concolor,1,0,0,0,A,0
R00010,Abies fraseri,1,0,0,0,A,0
R00011,Abies grandis,1,0,0,0,A,0
R00012,Abies lasiocarpa,1,0,0,0,A,0
R00013,Abies nordmanniana,1,0,0,0,A,0
R00014,Abies pinsapo,1,0,0,0,A,0
R00015,Abies procera,1,0,0,0,A,0
R00016,Abies sibirica,1,0,0,0,A,0
R00017,Abies veitchii,1,0,0,0,A,0
R00019,Abies x insignis,1,0,0,0,Q,0
R00021,Ablattaria laevigata,1,0,0,0,A,0
R00022,Ablerus perspeciosus,1,0,0,0,A,0
R00024,Abramis brama,0,1,0,0,A,0
R00025,Ballerus sapa,0,1,0,0,Q,0
R00026,Abronia fragrans,1,0,0,0,A,0
R00029,Aburria cumanensis,1,0,0,0,Q,0
R00030,Abutilon grandifolium,1,0,0,0,A,0
R00031,Abutilon sonneratianum,1,0,0,0,A,0
R00032,Abutilon striatum,1,0,0,0,A,0
R00033,Abutilon theophrasti,1,0,0,0,A,0
R00034,Abutilon x hybridum,1,0,0,0,Q,0
R00035,Acacia baileyana,1,0,0,0,A,0
R00037,Acacia cultriformis,1,0,0,0,A,0
R00038,Acacia cyclops,1,0,0,0,A,0
R00039,Acacia dealbata,1,0,0,0,A,0
R00040,Acacia decurrens,1,0,0,0,A,0
R00041,Acacia farnesiana,1,0,0,0,A,0
R00042,Acacia karroo,1,0,0,0,A,0
R00043,Acacia ligulata,1,0,0,0,A,0
R00044,Acacia longifolia,1,0,0,0,A,0
R00045,Acacia longifolia subsp. sophorae,1,0,0,0,A,0
R00046,Acacia mearnsii,1,0,0,0,A,0
R00047,Acacia melanoxylon,1,0,0,0,A,0
R00048,Acacia neriifolia,1,0,0,0,A,0
R00050,Acacia pycnantha,1,0,0,0,A,0
R00051,Acacia retinodes,1,0,0,0,A,0
R00052,Acacia salicina,1,0,0,0,A,0
R00053,Acacia saligna,1,0,0,0,A,0
R00054,Acacia terminalis,1,0,0,0,A,0
R00055,Acacia verticillata,1,0,0,0,A,0
R00056,Acaena anserinifolia x inermis,1,0,0,0,A,0
R00057,Acaena inermis,1,0,0,0,A,0
R00058,Acaena microphylla,1,0,0,0,A,0
R00059,Acaena novae-zelandiae,1,0,0,0,A,0
R00061,Acaena ovalifolia,1,0,0,0,A,0
R00064,Acalypha australis,1,0,0,0,A,0
R00065,Acalypha indica,1,0,0,0,A,0
R00066,Acalypha virginica,1,0,0,0,A,0
R00067,Acalyptris platani,1,0,0,0,A,0
R00068,Acanalonia conica,1,0,0,0,A,0
R00070,Acanthocephalus lucii,0,1,0,0,C,0
R00071,Acanthocheilonema perstans,1,0,0,0,A,0
R00072,Acanthocinus aedilis,1,0,0,0,A,0
R00074,Acanthocinus griseus,1,0,0,0,A,0
R00075,Acanthocinus reticulatus,1,0,0,0,A,0
R00076,Acanthocnemus nigricans,1,0,0,0,A,0
R00079,Acantholyda erythrocephala,1,0,0,0,A,0
R00080,Acantholyda laricis,1,0,0,0,A,0
R00082,Acanthophora nayadiformis,0,0,1,0,C,0
R00085,Acanthoscelides obtectus,1,0,0,0,A,0
R00086,Acanthoscelides pallidipennis,1,0,0,0,A,0
R00087,Acanthoscurria geniculata,1,0,0,0,Q,0
R00088,Acanthospermum hispidum,1,0,0,0,A,0
R00089,Acanthospermum humile,1,0,0,0,A,0
R00090,Acanthoxyla geisovii,1,0,0,0,A,0
R00091,Acanthoxyla inermis,1,0,0,0,A,0
R00095,Acanthus mollis,1,0,0,0,A,0
