no,kingdom,eu_name,language,common_name
1,Animalia,"Alopochen aegyptiaca Linnaeus, 1766",Bulgarian,Египетска гъска
2,Animalia,"Callosciurus erythraeus Pallas, 1779",Bulgarian,no common name
3,Animalia,"Corvus splendens Viellot, 1817",Bulgarian,Индийска домашна врана
4,Animalia,"Eriocheir sinensis H. Milne Edwards, 1854",Bulgarian,Китайски рак
5,Animalia,"Herpestes javanicus É. Geoffroy Saint-Hilaire, 1818",Bulgarian,no common name
6,Animalia,"Lithobates (Rana) catesbeianus Shaw, 1802",Bulgarian,no common name
7,Animalia,"Muntiacus reevesi Ogilby, 1839",Bulgarian,Китайският мунтжак 
7,Animalia,"Muntiacus reevesi Ogilby, 1839",Bulgarian,Мунтжак на Рийвс
8,Animalia,"Myocastor coypus Molina, 1782",Bulgarian,Блатен бобър
8,Animalia,"Myocastor coypus Molina, 1782",Bulgarian,Нутрия
8,Animalia,"Myocastor coypus Molina, 1782",Bulgarian,Нутрията
9,Animalia,"Nasua nasua Linnaeus, 1766",Bulgarian,Южноамериканско коати
10,Animalia,Nyctereutes procyonoides Gray 1834,Bulgarian,Енотовидно куче
11,Animalia,"Ondatra zibethicus (Linnaeus, 1766)",Bulgarian,бизам
11,Animalia,"Ondatra zibethicus (Linnaeus, 1766)",Bulgarian,Мускусен плъх
11,Animalia,"Ondatra zibethicus (Linnaeus, 1766)",Bulgarian,Ондатра
12,Animalia,"Orconectes limosus Rafinesque, 1817",Bulgarian,Американски шипобузест рак
13,Animalia,"Orconectes virilis Hagen, 1870",Bulgarian,no common name
14,Animalia,"Oxyura jamaicensis Gmelin, 1789",Bulgarian,Североамериканска тръноопашата потапница
15,Animalia,"Pacifastacus leniusculus Dana, 1852",Bulgarian,Американски сигнален рак
15,Animalia,"Pacifastacus leniusculus Dana, 1852",Bulgarian,американският сигнален рак
16,Animalia,"Perccottus glenii Dybowski, 1877",Bulgarian, китайски поспаланко или ротан
16,Animalia,"Perccottus glenii Dybowski, 1877",Bulgarian,Китайски поспаланко
17,Animalia,"Procambarus clarkii Girard, 1852",Bulgarian,no common name
18,Animalia,"Procambarus fallax (Hagen, 1870) f. virginalis",Bulgarian,no common name
19,Animalia,"Procyon lotor Linnaeus, 1758",Bulgarian,Американски енот
20,Animalia,"Pseudorasbora parva Temminck & Schlegel, 1846",Bulgarian,Псевдоразбора 
21,Animalia,"Sciurus carolinensis Gmelin, 1788",Bulgarian,Сива катерица
22,Animalia,"Sciurus niger Linnaeus, 1758",Bulgarian,Лисича катерица 
23,Animalia,"Tamias sibiricus Laxmann, 1769",Bulgarian,Азиатски бурундук
24,Animalia,"Threskiornis aethiopicus Latham, 1790",Bulgarian,no common name
25,Animalia,"Trachemys scripta Schoepff, 1792",Bulgarian,Червенобуза костенурка
26,Animalia,"Vespa velutina nigrithorax de Buysson, 1905",Bulgarian,no common name
27,Plantae,Alternanthera philoxeroides (Mart.) Griseb.,Bulgarian,no common name
28,Plantae,Asclepias syriaca L.,Bulgarian,Асклепиас
29,Plantae,Baccharis halimifolia L.,Bulgarian,no common name
30,Plantae,Cabomba caroliniana Gray,Bulgarian,Кабомба каролината
31,Plantae,Eichhornia crassipes (Martius) Solms,Bulgarian,Воден зюмбюл
32,Plantae,Elodea nuttallii (Planch.) H. St. John,Bulgarian,Елодея нутали
32,Plantae,Elodea nuttallii (Planch.) H. St. John,Bulgarian,Нуталиева водна чума
33,Plantae,Gunnera tinctoria (Molina) Mirbel ,Bulgarian,no common name
34,Plantae,Heracleum mantegazzianum Sommier & Levier,Bulgarian,Гигантски хераклеум
35,Plantae,Heracleum persicum Fischer,Bulgarian,no common name
36,Plantae,Heracleum sosnowskyi Mandenova,Bulgarian,Sosnowski крава пащърнак
37,Plantae,Hydrocotyle ranunculoides L. f.,Bulgarian,no common name
38,Plantae,Impatiens glandulifera Royle,Bulgarian,Жлезиста слабонога
39,Plantae,Lagarosiphon major (Ridley) Moss,Bulgarian,no common name
40,Plantae,Ludwigia grandiflora (Michx.) Greuter & Burdet,Bulgarian,no common name
41,Plantae,Ludwigia peploides (Kunth) P.H. Raven,Bulgarian,no common name
42,Plantae,Lysichiton americanus Hultén and St. John,Bulgarian,no common name
43,Plantae,Microstegium vimineum (Trin.) A.Camus,Bulgarian,no common name
44,Plantae,Myriophyllum aquaticum (Vell.) Verdc.,Bulgarian,Мирофилум 
45,Plantae,Myriophyllum heterophyllum Michx.,Bulgarian,no common name
46,Plantae,Parthenium hysterophorus L.,Bulgarian,no common name
47,Plantae,Pennisetum setaceum (Forssk.) Chiov.,Bulgarian,фонтан трева
48,Plantae,Persicaria perfoliata (L.) H. Gross (Polygonum perfoliatum L.),Bulgarian,no common name
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),Bulgarian,no common name
