no,kingdom,eu_name,language,common_name
1,Animalia,"Alopochen aegyptiaca Linnaeus, 1766",Czech,husa nilská
1,Animalia,"Alopochen aegyptiaca Linnaeus, 1766",Czech,husice egyptská
1,Animalia,"Alopochen aegyptiaca Linnaeus, 1766",Czech,husice nilská
2,Animalia,"Callosciurus erythraeus Pallas, 1779",Czech,veverka Pallasova
3,Animalia,"Corvus splendens Viellot, 1817",Czech,vrána domácí
4,Animalia,"Eriocheir sinensis H. Milne Edwards, 1854",Czech,krab říční
5,Animalia,"Herpestes javanicus É. Geoffroy Saint-Hilaire, 1818",Czech,promyka malá
6,Animalia,"Lithobates (Rana) catesbeianus Shaw, 1802",Czech,skokan volský
7,Animalia,"Muntiacus reevesi Ogilby, 1839",Czech,muntžak malý
8,Animalia,"Myocastor coypus Molina, 1782",Czech,nutrie říční
9,Animalia,"Nasua nasua Linnaeus, 1766",Czech,nosál červený
10,Animalia,Nyctereutes procyonoides Gray 1834,Czech,liška japonská
10,Animalia,Nyctereutes procyonoides Gray 1834,Czech,liška jezerní
10,Animalia,Nyctereutes procyonoides Gray 1834,Czech,liška mořská
10,Animalia,Nyctereutes procyonoides Gray 1834,Czech,mývalovec kuní
10,Animalia,Nyctereutes procyonoides Gray 1834,Czech,pes kunovitý
10,Animalia,Nyctereutes procyonoides Gray 1834,Czech,psík mývalovitý
11,Animalia,"Ondatra zibethicus (Linnaeus, 1766)",Czech,ondatra pižmová
12,Animalia,"Orconectes limosus Rafinesque, 1817",Czech,rak pruhovaný
13,Animalia,"Orconectes virilis Hagen, 1870",Czech,rak americký
13,Animalia,"Orconectes virilis Hagen, 1870",Czech,rak severský
14,Animalia,"Oxyura jamaicensis Gmelin, 1789",Czech,kachnice kaštanová
15,Animalia,"Pacifastacus leniusculus Dana, 1852",Czech,rak signální
16,Animalia,"Perccottus glenii Dybowski, 1877",Czech,hlavačkovec Glenův
17,Animalia,"Procambarus clarkii Girard, 1852",Czech,rak červený
18,Animalia,"Procambarus fallax (Hagen, 1870) f. virginalis",Czech,rak mramorovaný
19,Animalia,"Procyon lotor Linnaeus, 1758",Czech,mýval severní
20,Animalia,"Pseudorasbora parva Temminck & Schlegel, 1846",Czech,hrouzkovec malý
20,Animalia,"Pseudorasbora parva Temminck & Schlegel, 1846",Czech,hrouzkovec síťkovaný
20,Animalia,"Pseudorasbora parva Temminck & Schlegel, 1846",Czech,parasbora malá
20,Animalia,"Pseudorasbora parva Temminck & Schlegel, 1846",Czech,stevlika vchodni
20,Animalia,"Pseudorasbora parva Temminck & Schlegel, 1846",Czech,střevlička východní
21,Animalia,"Sciurus carolinensis Gmelin, 1788",Czech,veverka popelavá
22,Animalia,"Sciurus niger Linnaeus, 1758",Czech,veverka liščí
23,Animalia,"Tamias sibiricus Laxmann, 1769",Czech,Burunduk páskovaný
24,Animalia,"Threskiornis aethiopicus Latham, 1790",Czech,ibis posvátný
25,Animalia,"Trachemys scripta Schoepff, 1792",Czech,želva nádherná
26,Animalia,"Vespa velutina nigrithorax de Buysson, 1905",Czech,sršeň asijská
26,Animalia,"Vespa velutina nigrithorax de Buysson, 1905",Czech,sršeň čínská
27,Plantae,Alternanthera philoxeroides (Mart.) Griseb.,Czech,plevuňka (philoxeroides)
28,Plantae,Asclepias syriaca L.,Czech, klejicha hedvábná
28,Plantae,Asclepias syriaca L.,Czech,glejovka americká
28,Plantae,Asclepias syriaca L.,Czech,klejicha vatočník
29,Plantae,Baccharis halimifolia L.,Czech,pomíšenka nepitolistá
30,Plantae,Cabomba caroliniana Gray,Czech,chebule karolínská
30,Plantae,Cabomba caroliniana Gray,Czech,Kabomba karolínská
31,Plantae,Eichhornia crassipes (Martius) Solms,Czech,tokozelka nadmutá
31,Plantae,Eichhornia crassipes (Martius) Solms,Czech,tokozelka tlustostopkatá
31,Plantae,Eichhornia crassipes (Martius) Solms,Czech,tokozelka vodní hyacint
31,Plantae,Eichhornia crassipes (Martius) Solms,Czech,tokozelka vzplývavá
32,Plantae,Elodea nuttallii (Planch.) H. St. John,Czech,vodní mor americký
33,Plantae,Gunnera tinctoria (Molina) Mirbel ,Czech,batora chilská
34,Plantae,Heracleum mantegazzianum Sommier & Levier,Czech,bolševník velkolepý
35,Plantae,Heracleum persicum Fischer,Czech,bolševník perský
36,Plantae,Heracleum sosnowskyi Mandenova,Czech,bolševník Sosnowského
37,Plantae,Hydrocotyle ranunculoides L. f.,Czech,pupečník pryskyřníkovitý
38,Plantae,Impatiens glandulifera Royle,Czech,netýkavka Royleova
38,Plantae,Impatiens glandulifera Royle,Czech,netýkavka žláznatá
39,Plantae,Lagarosiphon major (Ridley) Moss,Czech,spirálovka větší
40,Plantae,Ludwigia grandiflora (Michx.) Greuter & Burdet,Czech,zakucelka velkokvětá
41,Plantae,Ludwigia peploides (Kunth) P.H. Raven,Czech,zakucelka plazivá
42,Plantae,Lysichiton americanus Hultén and St. John,Czech,Kapsovec americký
42,Plantae,Lysichiton americanus Hultén and St. John,Czech,lysichiton americký
