no,kingdom,eu_name,language,common_name
1,Animalia,"Alopochen aegyptiaca Linnaeus, 1766",German,Nilgans
1,Animalia,"Alopochen aegyptiaca Linnaeus, 1766",German,Nil-Gans
2,Animalia,"Callosciurus erythraeus Pallas, 1779",German,Pallashörnchen
2,Animalia,"Callosciurus erythraeus Pallas, 1779",German,Pallas-Schönhörnchen
3,Animalia,"Corvus splendens Viellot, 1817",German,Glanzkrähe
3,Animalia,"Corvus splendens Viellot, 1817",German,Indischer Hausrabe
4,Animalia,"Eriocheir sinensis H. Milne Edwards, 1854",German,Chinesische Wollhandkrabbe
4,Animalia,"Eriocheir sinensis H. Milne Edwards, 1854",German,Wollhandkrabbe
5,Animalia,"Herpestes javanicus É. Geoffroy Saint-Hilaire, 1818",German,Kleiner Mungo
6,Animalia,"Lithobates (Rana) catesbeianus Shaw, 1802",German,Amerikanischer Ochsenfrosch
7,Animalia,"Muntiacus reevesi Ogilby, 1839",German,Chinesischer Muntjak
8,Animalia,"Myocastor coypus Molina, 1782",German,Nutria
9,Animalia,"Nasua nasua Linnaeus, 1766",German,Roter Nasenbär
9,Animalia,"Nasua nasua Linnaeus, 1766",German,Südamerikanischer Nasenbär
10,Animalia,Nyctereutes procyonoides Gray 1834,German,Marderhund
11,Animalia,"Ondatra zibethicus (Linnaeus, 1766)",German, Bisamratte
12,Animalia,"Orconectes limosus Rafinesque, 1817",German, Kamberkrebs
13,Animalia,"Orconectes virilis Hagen, 1870",German,Viril-Flusskrebs
14,Animalia,"Oxyura jamaicensis Gmelin, 1789",German,Schwarzkopfruderente
14,Animalia,"Oxyura jamaicensis Gmelin, 1789",German,Schwarzkopf-Ruderente 
15,Animalia,"Pacifastacus leniusculus Dana, 1852",German,Signalkrebs
16,Animalia,"Perccottus glenii Dybowski, 1877",German,Amurgrundel
16,Animalia,"Perccottus glenii Dybowski, 1877",German,Chinesische Schläfergrundel 
16,Animalia,"Perccottus glenii Dybowski, 1877",German,Goloweschka
17,Animalia,"Procambarus clarkii Girard, 1852",German,Roter Amerikanischer Sumpfkrebs
18,Animalia,"Procambarus fallax (Hagen, 1870) f. virginalis",German,Marmorkrebs
19,Animalia,"Procyon lotor Linnaeus, 1758",German,Waschbär
20,Animalia,"Pseudorasbora parva Temminck & Schlegel, 1846",German,Blaubandbärbling
20,Animalia,"Pseudorasbora parva Temminck & Schlegel, 1846",German,Blaubandgründling
20,Animalia,"Pseudorasbora parva Temminck & Schlegel, 1846",German,Keilfleckbarbe
21,Animalia,"Sciurus carolinensis Gmelin, 1788",German,(Chinesisches) Grauhörnchen
22,Animalia,"Sciurus niger Linnaeus, 1758",German,Fuchshörnchen
23,Animalia,"Tamias sibiricus Laxmann, 1769",German,Burunduk
23,Animalia,"Tamias sibiricus Laxmann, 1769",German,Sibirisches Streifenhörnchen
24,Animalia,"Threskiornis aethiopicus Latham, 1790",German,Heiliger Ibis
25,Animalia,"Trachemys scripta Schoepff, 1792",German,Buchstabenschmuckschildkröte
25,Animalia,"Trachemys scripta Schoepff, 1792",German,Buchstaben-Schmuckschildkröte
25,Animalia,Trachemys scripta  subsp.troostii,German,Cumberland-Schmuckschildkröte
25,Animalia,Trachemys scripta subsp. scripta,German,Gelbwangenschmuckschildkröte 
25,Animalia,"Trachemys scripta Schoepff, 1792",German,Nordamerikanische Schmuckschildkröte
25,Animalia,Trachemys scripta  subsp. elegans,German,Rotwangenschmuckschildkröte
26,Animalia,"Vespa velutina nigrithorax de Buysson, 1905",German,Asiatische Hornisse
27,Plantae,Alternanthera philoxeroides (Mart.) Griseb.,German,Alligatorkraut
28,Plantae,Asclepias syriaca L.,German, Indianer-Seidenpflanze
28,Plantae,Asclepias syriaca L.,German,Gewöhnliche Seidenpflanze
28,Plantae,Asclepias syriaca L.,German,Syrische Seidenpflanze
29,Plantae,Baccharis halimifolia L.,German,Kreuzstrauch
30,Plantae,Cabomba caroliniana Gray,German,(Karolina-)Haarnixe
31,Plantae,Eichhornia crassipes (Martius) Solms,German,Dickstielige Wasserhyazinthe
31,Plantae,Eichhornia crassipes (Martius) Solms,German,Wasserhyazinthe
32,Plantae,Elodea nuttallii (Planch.) H. St. John,German,Nuttall-Wasserpest
32,Plantae,Elodea nuttallii (Planch.) H. St. John,German,Schmalblättrige Wasserpest
33,Plantae,Gunnera tinctoria (Molina) Mirbel ,German,Mammutblatt
33,Plantae,Gunnera tinctoria (Molina) Mirbel ,German,Riesenrhabarber
34,Plantae,Heracleum mantegazzianum Sommier & Levier,German,Bärenklau
34,Plantae,Heracleum mantegazzianum Sommier & Levier,German,Riesen-Bärenklau
35,Plantae,Heracleum persicum Fischer,German,persischer Bärenklau
36,Plantae,Heracleum sosnowskyi Mandenova,German,Sosnowsky Bärenklau
37,Plantae,Hydrocotyle ranunculoides L. f.,German,Großer Wassernabel
38,Plantae,Impatiens glandulifera Royle,German,Drüsiges Springkraut
38,Plantae,Impatiens glandulifera Royle,German,Indisches Springkraut
39,Plantae,Lagarosiphon major (Ridley) Moss,German,Grosser Lagarosiphon
39,Plantae,Lagarosiphon major (Ridley) Moss,German,Krause Wasserpest
39,Plantae,Lagarosiphon major (Ridley) Moss,German,Wechselblatt-Wasserpest
40,Plantae,Ludwigia grandiflora (Michx.) Greuter & Burdet,German,Großblütiges Heusenkraut
41,Plantae,Ludwigia peploides (Kunth) P.H. Raven,German,Flutendes Heusenkraut
41,Plantae,Ludwigia peploides (Kunth) P.H. Raven,German,Portulak-Heusenkraut
42,Plantae,Lysichiton americanus Hultén and St. John,German,Amerikanischer Stinktierkohl
42,Plantae,Lysichiton americanus Hultén and St. John,German,Gelbe Schein-Calla
42,Plantae,Lysichiton americanus Hultén and St. John,German,Gelbe Scheinkalla
43,Plantae,Microstegium vimineum (Trin.) A.Camus,German,Japanisches Stelzgras
44,Plantae,Myriophyllum aquaticum (Vell.) Verdc.,German,Brasilianisches Tausendblatt
45,Plantae,Myriophyllum heterophyllum Michx.,German,Verschiedenblättriges Tausendblatt
46,Plantae,Parthenium hysterophorus L.,German,Karottenkraut
47,Plantae,Pennisetum setaceum (Forssk.) Chiov.,German, Federborstengras
47,Plantae,Pennisetum setaceum (Forssk.) Chiov.,German,Rotes Lampenputzergras
48,Plantae,Persicaria perfoliata (L.) H. Gross (Polygonum perfoliatum L.),German,Durchwachsener Knöterich
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),German,Kopoubohne
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),German,Kopou-Bohne
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),German,Kudzu
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),German,Kudzu-Bohne
