no,kingdom,eu_name,language,common_name
1,Animalia,"Alopochen aegyptiaca Linnaeus, 1766",Danish,Nilgås
2,Animalia,"Callosciurus erythraeus Pallas, 1779",Danish,Rødbuget egern
3,Animalia,"Corvus splendens Viellot, 1817",Danish,Indisk huskrage
4,Animalia,"Eriocheir sinensis H. Milne Edwards, 1854",Danish,Kinesisk uldhåndskrabbe
5,Animalia,"Lithobates (Rana) catesbeianus Shaw, 1802",Danish,Amerikansk oksefrø
6,Animalia,"Muntiacus reevesi Ogilby, 1839",Danish,Muntjak
7,Animalia,"Myocastor coypus Molina, 1782",Danish,Bæverrotte
8,Animalia,"Myocastor coypus Molina, 1782",Danish,Sumpbæver
9,Animalia,"Nasua nasua Linnaeus, 1766",Danish,Næsebjørn
10,Animalia,Nyctereutes procyonoides Gray 1834,Danish,Mårhund
11,Animalia,"Ondatra zibethicus (Linnaeus, 1766)",Danish,Bisamrotte
12,Animalia,"Orconectes limosus Rafinesque, 1817",Danish,Amerikansk flodkrebs
13,Animalia,"Orconectes virilis Hagen, 1870",Danish,Viril krebs
14,Animalia,"Oxyura jamaicensis Gmelin, 1789",Danish,Amerikansk skarveand
15,Animalia,"Pacifastacus leniusculus Dana, 1852",Danish,Signalkrebs
16,Animalia,"Perccottus glenii Dybowski, 1877",Danish,Kinesisk sovekutling
17,Animalia,"Procambarus clarkii Girard, 1852",Danish,Louisiana-flodkrebs
18,Animalia,"Procambarus fallax (Hagen, 1870) f. virginalis",Danish,Marmorkrebs
19,Animalia,"Procyon lotor Linnaeus, 1758",Danish,Vaskebjørn
20,Animalia,"Pseudorasbora parva Temminck & Schlegel, 1846",Danish,Båndgrundling
21,Animalia,"Sciurus carolinensis Gmelin, 1788",Danish,Gråt egern
22,Animalia,"Sciurus niger Linnaeus, 1758",Danish,Ræveegern
23,Animalia,"Tamias sibiricus Laxmann, 1769",Danish,Sibirisk jordegern
24,Animalia,"Threskiornis aethiopicus Latham, 1790",Danish,Hellig ibis
25,Animalia,Trachemys scripta subsp.troostii,Danish,Cumberland terrapin
25,Animalia,Trachemys scripta  subsp. scripta,Danish,Guløret terrapin
25,Animalia,Trachemys scripta  subsp. elegans,Danish,Rødøret terrapin
26,Animalia,"Vespa velutina nigrithorax de Buysson, 1905",Danish,Asiatisk hveps
27,Plantae,Alternanthera philoxeroides (Mart.) Griseb.,Danish,Alligator-urt
28,Plantae,Asclepias syriaca L.,Danish,Kæmpe-silkeplante
29,Plantae,Baccharis halimifolia L.,Danish,Ørkenskorsrod
30,Plantae,Cabomba caroliniana Gray,Danish,Carolina cambomba
31,Plantae,Eichhornia crassipes (Martius) Solms,Danish,Tykstilket vandhyacint
32,Plantae,Elodea nuttallii (Planch.) H. St. John,Danish,Smalbladet vandpest
33,Plantae,Gunnera tinctoria (Molina) Mirbel ,Danish,Farvegunnera
34,Plantae,Heracleum mantegazzianum Sommier & Levier,Danish,Kæmpe-bjørneklo
35,Plantae,Heracleum persicum Fischer,Danish,Hårfrugtet bjørneklo
35,Plantae,Heracleum persicum Fischer,Danish,Tromsøpalme
36,Plantae,Heracleum sosnowskyi Mandenova,Danish,Rundlobet bjørneklo
37,Plantae,Hydrocotyle ranunculoides L. f.,Danish,Flydende vandnavle
38,Plantae,Impatiens glandulifera Royle,Danish,Kæmpe-balsamin
39,Plantae,Lagarosiphon major (Ridley) Moss,Danish,Stor vandguirlande
40,Plantae,Ludwigia grandiflora (Michx.) Greuter & Burdet,Danish,Uruguay ludwigia
41,Plantae,Ludwigia peploides (Kunth) P.H. Raven,Danish,Krybende ludwigia
42,Plantae,Lysichiton americanus Hultén and St. John,Danish,Gul kæmpekalla
43,Plantae,Microstegium vimineum (Trin.) A.Camus,Danish,Japansk styltegræs
44,Plantae,Myriophyllum aquaticum (Vell.) Verdc.,Danish,Papegøjefjer
45,Plantae,Myriophyllum heterophyllum Michx.,Danish,Forskelligbladet tusindeblad
46,Plantae,Parthenium hysterophorus L.,Danish,Slør-partenium
47,Plantae,Pennisetum setaceum (Forssk.) Chiov.,Danish,Lampepudsergræs
48,Plantae,Persicaria perfoliata (L.) H. Gross (Polygonum perfoliatum L.),Danish,Spydbladet pileurt
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),Danish,Kujibønne
