no,kingdom,eu_name,language,common_name
1,Animalia,"Alopochen aegyptiaca Linnaeus, 1766",Estonian,vaaraohani
2,Animalia,"Callosciurus erythraeus Pallas, 1779",Estonian,puna-kabeorav
3,Animalia,"Corvus splendens Viellot, 1817",Estonian,õuevares
4,Animalia,"Eriocheir sinensis H. Milne Edwards, 1854",Estonian,hiina villkäppkrabi
5,Animalia,"Herpestes javanicus É. Geoffroy Saint-Hilaire, 1818",Estonian,täpikmangust
6,Animalia,"Lithobates (Rana) catesbeianus Shaw, 1802",Estonian,härgkonn
7,Animalia,"Muntiacus reevesi Ogilby, 1839",Estonian,hiina muntjak
8,Animalia,"Myocastor coypus Molina, 1782",Estonian,nutria
9,Animalia,"Nasua nasua Linnaeus, 1766",Estonian,ninakaru
10,Animalia,Nyctereutes procyonoides Gray 1834,Estonian,kährik
10,Animalia,Nyctereutes procyonoides Gray 1834,Estonian,kährikkoer 
11,Animalia,"Ondatra zibethicus (Linnaeus, 1766)",Estonian,ondatra
11,Animalia,"Ondatra zibethicus (Linnaeus, 1766)",Estonian,piisamrott
12,Animalia,"Orconectes limosus Rafinesque, 1817",Estonian,ogapõskne vähk
13,Animalia,"Orconectes virilis Hagen, 1870",Estonian,eesti keelse nimeta vähk
14,Animalia,"Oxyura jamaicensis Gmelin, 1789",Estonian,valgepõsk händpart
15,Animalia,"Pacifastacus leniusculus Dana, 1852",Estonian,signaalvähk
16,Animalia,"Perccottus glenii Dybowski, 1877",Estonian,kaugida unimudil
17,Animalia,"Procambarus clarkii Girard, 1852",Estonian,punane soovähk
18,Animalia,"Procambarus fallax (Hagen, 1870) f. virginalis",Estonian,marmorvähk
19,Animalia,"Procyon lotor Linnaeus, 1758",Estonian,harilik pesukaru 
19,Animalia,"Procyon lotor Linnaeus, 1758",Estonian,pesukaru
19,Animalia,"Procyon lotor Linnaeus, 1758",Estonian,tava-pesukaru
20,Animalia,"Pseudorasbora parva Temminck & Schlegel, 1846",Estonian,ebarasboora
21,Animalia,"Sciurus carolinensis Gmelin, 1788",Estonian,hallorav
22,Animalia,"Sciurus niger Linnaeus, 1758",Estonian,rebasorav
23,Animalia,"Tamias sibiricus Laxmann, 1769",Estonian,siberi vöötorav (burundukk)
24,Animalia,"Threskiornis aethiopicus Latham, 1790",Estonian,pühaiibis
25,Animalia,Trachemys scripta  subsp. elegans,Estonian,punakõrv-ilukilpkonn
26,Animalia,"Vespa velutina nigrithorax de Buysson, 1905",Estonian,aasia herilane
26,Animalia,"Vespa velutina nigrithorax de Buysson, 1905",Estonian,aasia vapsik 
27,Plantae,Alternanthera philoxeroides (Mart.) Griseb.,Estonian,vesi-kõlupea
28,Plantae,Asclepias syriaca L.,Estonian,siidaskleepias
29,Plantae,Baccharis halimifolia L.,Estonian,soolak-puisaster
30,Plantae,Cabomba caroliniana Gray,Estonian,karoliina näkijuus
31,Plantae,Eichhornia crassipes (Martius) Solms,Estonian,harilik vesihüatsint
32,Plantae,Elodea nuttallii (Planch.) H. St. John,Estonian,väike vesikatk
33,Plantae,Gunnera tinctoria (Molina) Mirbel ,Estonian,tšiili gunnera
34,Plantae,Heracleum mantegazzianum Sommier & Levier,Estonian,hiid-karuputk
35,Plantae,Heracleum persicum Fischer,Estonian,pärsia karuputk
36,Plantae,Heracleum sosnowskyi Mandenova,Estonian,Sosnovski karuputk
37,Plantae,Hydrocotyle ranunculoides L. f.,Estonian,tulik-vesipaunikas
38,Plantae,Impatiens glandulifera Royle,Estonian,verev lemmalts
38,Plantae,Impatiens glandulifera Royle,Estonian,verev lemmmalts 
39,Plantae,Lagarosiphon major (Ridley) Moss,Estonian,kähar näkikatk
40,Plantae,Ludwigia grandiflora (Michx.) Greuter & Burdet,Estonian,suureõieline ludviigia
41,Plantae,Ludwigia peploides (Kunth) P.H. Raven,Estonian,vaipludviigia
42,Plantae,Lysichiton americanus Hultén and St. John,Estonian,ameerika kevadvõhk
43,Plantae,Microstegium vimineum (Trin.) A.Camus,Estonian,aasia karkhein
44,Plantae,Myriophyllum aquaticum (Vell.) Verdc.,Estonian,brasiilia vesikuusk
45,Plantae,Myriophyllum heterophyllum Michx.,Estonian,erilehine vesikuusk
46,Plantae,Parthenium hysterophorus L.,Estonian,prügi-neitsirohi
47,Plantae,Pennisetum setaceum (Forssk.) Chiov.,Estonian,harjas hiidhirss
48,Plantae,Persicaria perfoliata (L.) H. Gross (Polygonum perfoliatum L.),Estonian,haakuv kirburohi
48,Plantae,Persicaria perfoliata (L.) H. Gross (Polygonum perfoliatum L.),Estonian,haakuv kirbutatar 
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),Estonian,hõlmine pueraaria
