no,kingdom,eu_name,language,common_name
1,Animalia,"Alopochen aegyptiaca Linnaeus, 1766",Spanish,Ganso del Nilo
2,Animalia,"Callosciurus erythraeus Pallas, 1779",Spanish,ardilla de Pallas
3,animalia,"Corvus splendens Viellot, 1817",Spanish, Cuervo indio
3,animalia,"Corvus splendens Viellot, 1817",Spanish,cuervo  indio
4,Animalia,"Eriocheir sinensis H. Milne Edwards, 1854",Spanish,Cangrejo chino
5,Animalia,"Herpestes javanicus É. Geoffroy Saint-Hilaire, 1818",Spanish,Mangosta pequeña asiática
6,Animalia,"Lithobates (Rana) catesbeianus Shaw, 1802",Spanish,Rana toro
7,Animalia,"Muntiacus reevesi Ogilby, 1839",Spanish,muntíaco de Reeves
8,Animalia,"Myocastor coypus Molina, 1782",Spanish,Coipú
9,Animalia,"Nasua nasua Linnaeus, 1766",Spanish,Achuni
9,Animalia,"Nasua nasua Linnaeus, 1766",Spanish,Caoti
9,Animalia,"Nasua nasua Linnaeus, 1766",Spanish,Coatí
9,Animalia,"Nasua nasua Linnaeus, 1766",Spanish,Tajon
10,Animalia,Nyctereutes procyonoides Gray 1834,Spanish,Perro mapache
11,Animalia,"Ondatra zibethicus (Linnaeus, 1766)",Spanish,Rata almizclera
12,Animalia,"Orconectes limosus Rafinesque, 1817",Spanish,Cangrejo de los canales
13,Animalia,"Orconectes virilis Hagen, 1870",Spanish,cangrejo del norte
14,Animalia,"Oxyura jamaicensis Gmelin, 1789",Spanish,Malvasía canela
14,Animalia,"Oxyura jamaicensis Gmelin, 1789",Spanish,Pato tepalcate
15,Animalia,"Pacifastacus leniusculus Dana, 1852",Spanish,Cangrejo de California
15,Animalia,"Pacifastacus leniusculus Dana, 1852",Spanish,Cangrejo del Pacífico
15,Animalia,"Pacifastacus leniusculus Dana, 1852",Spanish,Cangrejo señal
16,Animalia,"Perccottus glenii Dybowski, 1877",Spanish,no common name
17,Animalia,"Procambarus clarkii Girard, 1852",Spanish,Cangrejo americano
17,Animalia,"Procambarus clarkii Girard, 1852",Spanish,Cangrejo rojo
18,Animalia,"Procambarus fallax (Hagen, 1870) f. virginalis",Spanish,cangrejo originario de América
19,Animalia,"Procyon lotor Linnaeus, 1758",Spanish,Mapache
19,Animalia,"Procyon lotor Linnaeus, 1758",Spanish,Mapache comn
19,Animalia,"Procyon lotor Linnaeus, 1758",Spanish,Mapachín
20,Animalia,"Pseudorasbora parva Temminck & Schlegel, 1846",Spanish,Pseudorasbora
21,Animalia,"Sciurus carolinensis Gmelin, 1788",Spanish,ardilla de las Carolinas
22,Animalia,"Sciurus niger Linnaeus, 1758",Spanish,ardilla zorro oriental
23,Animalia,"Tamias sibiricus Laxmann, 1769",Spanish,Ardilla de Siberia
24,Animalia,"Threskiornis aethiopicus Latham, 1790",Spanish,Ibis sagrado
25,Animalia,"Trachemys scripta Schoepff, 1792",Spanish,Tortuga pintada
26,Animalia,"Vespa velutina nigrithorax de Buysson, 1905",Spanish,"Avispón asiático, Avispa negra"
27,Plantae,Alternanthera philoxeroides (Mart.) Griseb.,Spanish,Hierba del lagarto
27,Plantae,Alternanthera philoxeroides (Mart.) Griseb.,Spanish,Huiro verde
27,Plantae,Alternanthera philoxeroides (Mart.) Griseb.,Spanish,Lagunilla
28,Plantae,Asclepias syriaca L.,Spanish,Yerba de mariposas
29,Plantae,Baccharis halimifolia L.,Spanish,Bácaris
29,Plantae,Baccharis halimifolia L.,Spanish,Carqueja
29,Plantae,Baccharis halimifolia L.,Spanish,Chilca
29,Plantae,Baccharis halimifolia L.,Spanish,Chilca de hoja de orzaga
30,Plantae,Cabomba caroliniana Gray,Spanish,Cabomba
30,Plantae,Cabomba caroliniana Gray,Spanish,Cabomba verde
30,Plantae,Cabomba caroliniana Gray,Spanish,Ortiga acuática
31,Plantae,Eichhornia crassipes (Martius) Solms,Spanish,Camalote
31,Plantae,Eichhornia crassipes (Martius) Solms,Spanish,Jacinto de agua
32,Plantae,Elodea nuttallii (Planch.) H. St. John,Spanish,Broza del Canadá
32,Plantae,Elodea nuttallii (Planch.) H. St. John,Spanish,Peste de agua
33,Plantae,Gunnera tinctoria (Molina) Mirbel ,Spanish,Nalca
33,Plantae,Gunnera tinctoria (Molina) Mirbel ,Spanish,Pangue 
34,Plantae,Heracleum mantegazzianum Sommier & Levier,Spanish,Perejil gigante
35,Plantae,Heracleum persicum Fischer,Spanish,Persian hogweed
36,Plantae,Heracleum sosnowskyi Mandenova,Spanish,no common name
37,Plantae,Hydrocotyle ranunculoides L. f.,Spanish,Redondita de agua
38,Plantae,Impatiens glandulifera Royle,Spanish,bálsamo del himalaya
38,Plantae,Impatiens glandulifera Royle,Spanish,bésame en la montaña
38,Plantae,Impatiens glandulifera Royle,Spanish,copa de cobre y perchero de gnomo
39,Plantae,Lagarosiphon major (Ridley) Moss,Spanish,elodea crispa
40,Plantae,Ludwigia grandiflora (Michx.) Greuter & Burdet,Spanish,Duraznillo de agua
41,Plantae,Ludwigia peploides (Kunth) P.H. Raven,Spanish,Ludwigia
42,Plantae,Lysichiton americanus Hultén and St. John,Spanish,"Aro de agua, Lisiquiton, Hierba fétida"
42,Plantae,Lysichiton americanus Hultén and St. John,Spanish,Col de mofeta occidental
42,Plantae,Lysichiton americanus Hultén and St. John,Spanish,Hierba fétida
42,Plantae,Lysichiton americanus Hultén and St. John,Spanish,Lisiquiton
43,Plantae,Microstegium vimineum (Trin.) A.Camus,Spanish,no common name
44,Plantae,Myriophyllum aquaticum (Vell.) Verdc.,Spanish,Cola de zorro
44,Plantae,Myriophyllum aquaticum (Vell.) Verdc.,Spanish,Milenrama brasileño
45,Plantae,Myriophyllum heterophyllum Michx.,Spanish,no common name
46,Plantae,Parthenium hysterophorus L.,Spanish,no common name
47,Plantae,Pennisetum setaceum (Forssk.) Chiov.,Spanish,Pasto de elefante
47,Plantae,Pennisetum setaceum (Forssk.) Chiov.,Spanish,Plumero
47,Plantae,Pennisetum setaceum (Forssk.) Chiov.,Spanish,Rabogato
48,Plantae,Persicaria perfoliata (L.) H. Gross (Polygonum perfoliatum L.),Spanish,no common name
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),Spanish,no common name
