no,kingdom,eu_name,language,common_name
1,Animalia,"Alopochen aegyptiaca Linnaeus, 1766",Finnish,afrikanhanhi 
1,Animalia,"Alopochen aegyptiaca Linnaeus, 1766",Finnish,niilinhanhi
2,Animalia,"Callosciurus erythraeus Pallas, 1779",Finnish,oliiviselkäorava
3,Animalia,"Corvus splendens Viellot, 1817",Finnish,intianvaris
4,Animalia,"Herpestes javanicus É. Geoffroy Saint-Hilaire, 1818",Finnish, pikkumungo
4,Animalia,"Eriocheir sinensis H. Milne Edwards, 1854",Finnish,villasaksirapu
5,Animalia,"Herpestes javanicus É. Geoffroy Saint-Hilaire, 1818",Finnish,intianpikkumangusti 
6,Animalia,"Lithobates (Rana) catesbeianus Shaw, 1802",Finnish,härkäsammakko 
7,Animalia,"Muntiacus reevesi Ogilby, 1839",Finnish, amerikanhärkäsammakko
7,Animalia,"Muntiacus reevesi Ogilby, 1839",Finnish,kiinanmuntjakki
7,Animalia,"Muntiacus reevesi Ogilby, 1839",Finnish,nutria 
8,Animalia,"Myocastor coypus Molina, 1782",Finnish, punanenäkarhu
8,Animalia,"Myocastor coypus Molina, 1782",Finnish,rämemajava
9,Animalia,"Nasua nasua Linnaeus, 1766",Finnish,koati
10,Animalia,Nyctereutes procyonoides Gray 1834,Finnish,supikoira
11,Animalia,"Ondatra zibethicus (Linnaeus, 1766)",Finnish,piisami
12,Animalia,"Orconectes limosus Rafinesque, 1817",Finnish,amerikankääpiörapu
13,Animalia,"Orconectes virilis Hagen, 1870",Finnish,viriilirapu
14,Animalia,"Oxyura jamaicensis Gmelin, 1789",Finnish,kuparisorsa
15,Animalia,"Pacifastacus leniusculus Dana, 1852",Finnish,täplärapu
16,Animalia,"Perccottus glenii Dybowski, 1877",Finnish,rohmutokko
17,Animalia,"Procambarus clarkii Girard, 1852",Finnish,punarapu
18,Animalia,"Procambarus fallax (Hagen, 1870) f. virginalis",Finnish,marmorirapu
18,Animalia,"Procambarus fallax (Hagen, 1870) f. virginalis",Finnish,supi 
19,Animalia,"Procyon lotor Linnaeus, 1758",Finnish,pesukarhu
20,Animalia,"Pseudorasbora parva Temminck & Schlegel, 1846",Finnish,saharasbora
21,Animalia,"Sciurus carolinensis Gmelin, 1788",Finnish,harmaaorava
22,Animalia,"Sciurus niger Linnaeus, 1758",Finnish,iso-orava
23,Animalia,"Tamias sibiricus Laxmann, 1769",Finnish,siperianmaaorava
24,Animalia,"Threskiornis aethiopicus Latham, 1790",Finnish,pyhäiibis
25,Animalia,"Trachemys scripta Schoepff, 1792",Finnish,punakorvakilpikonna
26,Animalia,"Vespa velutina nigrithorax de Buysson, 1905",Finnish,aasianherhiläinen
27,Plantae,Alternanthera philoxeroides (Mart.) Griseb.,Finnish,vesikaijalehti
28,Plantae,Asclepias syriaca L.,Finnish,mesisilkkiyrtti
29,Plantae,Baccharis halimifolia L.,Finnish,pilvisutilatva
30,Plantae,Cabomba caroliniana Gray,Finnish,karkeaviuhkalehti
31,Plantae,Eichhornia crassipes (Martius) Solms,Finnish,kellusvesihyasintti
32,Plantae,Elodea nuttallii (Planch.) H. St. John,Finnish,kiehkuravesirutto
33,Plantae,Gunnera tinctoria (Molina) Mirbel ,Finnish,värigunnera
34,Plantae,Heracleum mantegazzianum Sommier & Levier,Finnish,kaukasianjättiputki
35,Plantae,Heracleum persicum Fischer,Finnish,persianjättiputki
36,Plantae,Heracleum sosnowskyi Mandenova,Finnish,armenianjättiputki
36,Plantae,Heracleum sosnowskyi Mandenova,Finnish,sumasammakonputki 
37,Plantae,Hydrocotyle ranunculoides L. f.,Finnish,leinikinputki 
38,Plantae,Impatiens glandulifera Royle,Finnish,jättipalsami
39,Plantae,Lagarosiphon major (Ridley) Moss,Finnish,afrikanvesihäntä
40,Plantae,Ludwigia grandiflora (Michx.) Greuter & Burdet,Finnish,lauttarusolehti
41,Plantae,Ludwigia peploides (Kunth) P.H. Raven,Finnish,loikorusolehti
42,Plantae,Lysichiton americanus Hultén and St. John,Finnish,keltamajavankaali
43,Plantae,Microstegium vimineum (Trin.) A.Camus,Finnish,peittolapaheinä
44,Plantae,Myriophyllum aquaticum (Vell.) Verdc.,Finnish,isoärviä
45,Plantae,Myriophyllum heterophyllum Michx.,Finnish,kampaärviä
46,Plantae,Parthenium hysterophorus L.,Finnish,piinahelmikki
47,Plantae,Pennisetum setaceum (Forssk.) Chiov.,Finnish,arabiansulkahirssi
48,Plantae,Persicaria perfoliata (L.) H. Gross (Polygonum perfoliatum L.),Finnish,raastotatar
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),Finnish, kudzupapu
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),Finnish,purppurakudzu 
