no,kingdom,eu_name,language,common_name
1,Animalia,"Alopochen aegyptiaca Linnaeus, 1766",French,Ouette d'Égypte
2,Animalia,"Callosciurus erythraeus Pallas, 1779",French,Écureuil à ventre rouge
2,Animalia,"Callosciurus erythraeus Pallas, 1779",French,Écureuil de Pallas
3,Animalia,"Corvus splendens Viellot, 1817",French,Corbeau d'Inde
3,Animalia,"Corvus splendens Viellot, 1817",French,Corbeau familier
3,Animalia,"Corvus splendens Viellot, 1817",French,Corneille d'Inde
4,Animalia,"Eriocheir sinensis H. Milne Edwards, 1854",French,Crabe chinois
4,Animalia,"Eriocheir sinensis H. Milne Edwards, 1854",French,Crabe chinois à mitaines
4,Animalia,"Eriocheir sinensis H. Milne Edwards, 1854",French,Crabe poilu de Shanghai
5,Animalia,"Herpestes javanicus É. Geoffroy Saint-Hilaire, 1818",French,Mangouste de Java
6,Animalia,"Lithobates (Rana) catesbeianus Shaw, 1802",French,Grenouille-taureau
7,Animalia,"Muntiacus reevesi Ogilby, 1839",French,Muntjac de Chine
8,Animalia,"Myocastor coypus Molina, 1782",French,Ragondin
9,Animalia,"Nasua nasua Linnaeus, 1766",French,Coachi
9,Animalia,"Nasua nasua Linnaeus, 1766",French,Coati brun
9,Animalia,"Nasua nasua Linnaeus, 1766",French,Coati roux
9,Animalia,"Nasua nasua Linnaeus, 1766",French,Couasi (Guyane Française)
9,Animalia,"Nasua nasua Linnaeus, 1766",French,Kouachi (Guyane Française)
9,Animalia,"Nasua nasua Linnaeus, 1766",French,Kwasi kaanu (Guyane Française)
9,Animalia,"Nasua nasua Linnaeus, 1766",French,Kwasi kwasi (Guyane Française)
9,Animalia,"Nasua nasua Linnaeus, 1766",French,Quati (Guyane Française)
9,Animalia,"Nasua nasua Linnaeus, 1766",French,Quatimundé (Guyane Française)
9,Animalia,"Nasua nasua Linnaeus, 1766",French,Siyeu (Guyane Française)
10,Animalia,Nyctereutes procyonoides Gray 1834,French,Chien viverrin
11,Animalia,"Ondatra zibethicus (Linnaeus, 1766)",French,Rat musqué
12,Animalia,"Orconectes limosus Rafinesque, 1817",French,Écrevisse américaine
13,Animalia,"Orconectes virilis Hagen, 1870",French,Écrevisse à pinces bleues
14,Animalia,"Oxyura jamaicensis Gmelin, 1789",French,Érismature rousse
15,Animalia,"Pacifastacus leniusculus Dana, 1852",French,Écrevisse de Californie 
15,Animalia,"Pacifastacus leniusculus Dana, 1852",French,Écrevisse du Pacifique 
15,Animalia,"Pacifastacus leniusculus Dana, 1852",French,Écrevisse signal 
16,Animalia,"Perccottus glenii Dybowski, 1877",French,no common name  
17,Animalia,"Procambarus clarkii Girard, 1852",French,Écrevisse de Louisiane 
17,Animalia,"Procambarus clarkii Girard, 1852",French,Écrevisse rouge de Louisiane 
17,Animalia,"Procambarus clarkii Girard, 1852",French,Écrevisse rouge des marais 
18,Animalia,"Procambarus fallax (Hagen, 1870) f. virginalis",French,Écrevisse marbrée
19,Animalia,"Procyon lotor Linnaeus, 1758",French,Racoon (Guadeloupe)
19,Animalia,"Procyon lotor Linnaeus, 1758",French,Raton laveur
20,Animalia,"Pseudorasbora parva Temminck & Schlegel, 1846",French,Goujon asiatique
20,Animalia,"Pseudorasbora parva Temminck & Schlegel, 1846",French,Pseudorasbora
21,Animalia,"Sciurus carolinensis Gmelin, 1788",French,Écureuil gris de Caroline
21,Animalia,"Sciurus carolinensis Gmelin, 1788",French,Écureuil gris 
22,Animalia,"Sciurus niger Linnaeus, 1758",French,L'écureuil-renard
23,Animalia,"Tamias sibiricus Laxmann, 1769",French,Écureuil de Corée
23,Animalia,"Tamias sibiricus Laxmann, 1769",French,Écureuil japonais
23,Animalia,"Tamias sibiricus Laxmann, 1769",French,Rat de Corée
23,Animalia,"Tamias sibiricus Laxmann, 1769",French,Tamia de Sibérie
24,Animalia,"Threskiornis aethiopicus Latham, 1790",French,Ibis sacré
25,Animalia,"Trachemys scripta Schoepff, 1792",French,Tortue de Floride
25,Animalia,"Trachemys scripta Schoepff, 1792",French,Trachémyde écrite
26,Animalia,"Vespa velutina nigrithorax de Buysson, 1905",French, Le Frelon asiatique
27,Plantae,Alternanthera philoxeroides (Mart.) Griseb.,French,Alligatorweed
27,Plantae,Alternanthera philoxeroides (Mart.) Griseb.,French,Alternanthère
27,Plantae,Alternanthera philoxeroides (Mart.) Griseb.,French,Herbe à Alligator
28,Plantae,Asclepias syriaca L.,French,Asclépiade de Syrie
28,Plantae,Asclepias syriaca L.,French,Herbe à la ouate
29,Plantae,Baccharis halimifolia L.,French,Baccharis à feuilles d’arroche
29,Plantae,Baccharis halimifolia L.,French,Séneçon en arbre
30,Plantae,Cabomba caroliniana Gray,French,Cabomba de Caroline
30,Plantae,Cabomba caroliniana Gray,French,Éventail de Caroline
31,Plantae,Eichhornia crassipes (Martius) Solms,French,Jacinthe d’eau
32,Plantae,Elodea nuttallii (Planch.) H. St. John,French,élodée à feuilles étroites
