no,kingdom,eu_name,language,common_name
1,Animalia,"Alopochen aegyptiaca Linnaeus, 1766",Greek,Αιγυπτιακή χήνα
1,Animalia,"Alopochen aegyptiaca Linnaeus, 1766",Greek,Φοινικόσιηνα
2,Animalia,"Callosciurus erythraeus Pallas, 1779",Greek,Σκίουρος του Pallas
3,Animalia,"Corvus splendens Viellot, 1817",Greek,no common name
4,Animalia,"Eriocheir sinensis H. Milne Edwards, 1854",Greek,no common name
5,Animalia,"Herpestes javanicus É. Geoffroy Saint-Hilaire, 1818",Greek,Μικρή ασιατική μαγκούστα
6,Animalia,"Lithobates (Rana) catesbeianus Shaw, 1802",Greek,Αμερικανικός βουβαλοβάτραχος
6,Animalia,"Lithobates (Rana) catesbeianus Shaw, 1802",Greek,Αμερικανικός γιγάντιος βάτραχος
6,Animalia,"Lithobates (Rana) catesbeianus Shaw, 1802",Greek,Αμερικανικός ταυροβάτραχος
7,Animalia,"Muntiacus reevesi Ogilby, 1839",Greek,no common name
8,Animalia,"Myocastor coypus Molina, 1782",Greek,Κοϊπού
8,Animalia,"Myocastor coypus Molina, 1782",Greek,Μυοκάστορας
8,Animalia,"Myocastor coypus Molina, 1782",Greek,Μυοπόταμος
8,Animalia,"Myocastor coypus Molina, 1782",Greek,Νούτρια
8,Animalia,"Myocastor coypus Molina, 1782",Greek,Ποταμοαρουραίος
9,Animalia,"Nasua nasua Linnaeus, 1766",Greek,Κοάτι της νότιας Βραζιλίας
9,Animalia,"Nasua nasua Linnaeus, 1766",Greek,Νοτιοαμερικανικό κοάτι
10,Animalia,Nyctereutes procyonoides Gray 1834,Greek,Νυκτερευτής
11,Animalia,"Ondatra zibethicus (Linnaeus, 1766)",Greek,Μοσχοπόντικας
12,Animalia,"Orconectes limosus Rafinesque, 1817",Greek,Ποταμοκαραβίδα της Αμερικής
13,Animalia,"Orconectes virilis Hagen, 1870",Greek,no common name
14,Animalia,"Oxyura jamaicensis Gmelin, 1789",Greek,Κεφαλούδι της Τζαμάικας
15,Animalia,"Pacifastacus leniusculus Dana, 1852",Greek,Αμερικανική καραβίδα
16,Animalia,"Perccottus glenii Dybowski, 1877",Greek,no common name
17,Animalia,"Procambarus clarkii Girard, 1852",Greek,βαλτογαρίδες
18,Animalia,"Procambarus fallax (Hagen, 1870) f. virginalis",Greek,no common name
19,Animalia,"Procyon lotor Linnaeus, 1758",Greek,Ρακούν
20,Animalia,"Pseudorasbora parva Temminck & Schlegel, 1846",Greek,Ψευτορασμπόρα
21,Animalia,"Sciurus carolinensis Gmelin, 1788",Greek,Γκρίζος σκίουρος
22,Animalia,"Sciurus niger Linnaeus, 1758",Greek,Αλεποσκίουρος
23,Animalia,"Tamias sibiricus Laxmann, 1769",Greek,no common name
24,Animalia,"Threskiornis aethiopicus Latham, 1790",Greek,ιερή ίβιδα
25,Animalia,"Trachemys scripta Schoepff, 1792",Greek,Ερυθροκρόταφη νεροχελώνα
26,Animalia,"Vespa velutina nigrithorax de Buysson, 1905",Greek,Ασιατική σφήκα
27,Plantae,Alternanthera philoxeroides (Mart.) Griseb.,Greek,no common name
28,Plantae,Asclepias syriaca L.,Greek,no common name
29,Plantae,Baccharis halimifolia L.,Greek,Βάκχαρη
30,Plantae,Cabomba caroliniana Gray,Greek,no common name
31,Plantae,Eichhornia crassipes (Martius) Solms,Greek,Υάκινθος του νερού
32,Plantae,Elodea nuttallii (Planch.) H. St. John,Greek,no common name
33,Plantae,Gunnera tinctoria (Molina) Mirbel ,Greek,no common name
34,Plantae,Heracleum mantegazzianum Sommier & Levier,Greek,no common name
35,Plantae,Heracleum persicum Fischer,Greek,no common name
36,Plantae,Heracleum sosnowskyi Mandenova,Greek,no common name
37,Plantae,Hydrocotyle ranunculoides L. f.,Greek,no common name
38,Plantae,Impatiens glandulifera Royle,Greek,Βάλσαμο των Ιμαλαΐων
39,Plantae,Lagarosiphon major (Ridley) Moss,Greek,no common name
40,Plantae,Ludwigia grandiflora (Michx.) Greuter & Burdet,Greek,Μαγνόλια του Νότου
41,Plantae,Ludwigia peploides (Kunth) P.H. Raven,Greek,no common name
42,Plantae,Lysichiton americanus Hultén and St. John,Greek,no common name
43,Plantae,Microstegium vimineum (Trin.) A.Camus,Greek,no common name
44,Plantae,Myriophyllum aquaticum (Vell.) Verdc.,Greek,no common name
45,Plantae,Myriophyllum heterophyllum Michx.,Greek,no common name
46,Plantae,Parthenium hysterophorus L.,Greek,no common name
47,Plantae,Pennisetum setaceum (Forssk.) Chiov.,Greek,ΠΕΝΙΣΕΤΟ
48,Plantae,Persicaria perfoliata (L.) H. Gross (Polygonum perfoliatum L.),Greek,no common name
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),Greek,no common name
