no,kingdom,eu_name,language,common_name
29,Plantae,Baccharis halimifolia L.,Croatian,istočnoamerički baharis
30,Plantae,Cabomba caroliniana Gray,Croatian,zelena kabomba
31,Plantae,Eichhornia crassipes (Martius) Solms,Croatian,vodeni zumbul
32,Plantae,Elodea nuttallii (Planch.) H. St. John,Croatian,Nuttalliieva vodena kuga
33,Plantae,Gunnera tinctoria (Molina) Mirbel ,Croatian,Čileanska rabarbara
34,Plantae,Heracleum mantegazzianum Sommier & Levier,Croatian,divovski svinjski korov 
35,Plantae,Heracleum persicum Fischer,Croatian,golpar
35,Plantae,Heracleum persicum Fischer,Croatian,perzijski svinjski korov
36,Plantae,Heracleum sosnowskyi Mandenova,Croatian,Sosnowskijev svinjski korov
37,Plantae,Hydrocotyle ranunculoides L. f.,Croatian,žabnjački ljepušak
38,Plantae,Impatiens glandulifera Royle,Croatian,žljezdasti nedirak
39,Plantae,Lagarosiphon major (Ridley) Moss,Croatian,afrička vodena kuga
39,Plantae,Lagarosiphon major (Ridley) Moss,Croatian,veliki lagarosifon 
40,Plantae,Ludwigia grandiflora (Michx.) Greuter & Burdet,Croatian,velecvjetna močvarna mekčina
41,Plantae,Ludwigia peploides (Kunth) P.H. Raven,Croatian,plutajuća močvarna mekčina
42,Plantae,Lysichiton americanus Hultén and St. John,Croatian,američki lisihiton
43,Plantae,Microstegium vimineum (Trin.) A.Camus,Croatian,Japanska trava
44,Plantae,Myriophyllum aquaticum (Vell.) Verdc.,Croatian,Vodeni krocanj
45,Plantae,Myriophyllum heterophyllum Michx.,Croatian,no common name
46,Plantae,Parthenium hysterophorus L.,Croatian,Partenium
47,Plantae,Pennisetum setaceum (Forssk.) Chiov.,Croatian,Pernata trava/ Rubrum
48,Plantae,Persicaria perfoliata (L.) H. Gross (Polygonum perfoliatum L.),Croatian,prorasla perzikarija
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),Croatian,Puerarija
22,Animalia,"Sciurus niger Linnaeus, 1758",Croatian,Američka crna vjeverica
23,Animalia,"Tamias sibiricus Laxmann, 1769",Croatian,Sibirski burunduk
24,Animalia,"Threskiornis aethiopicus Latham, 1790",Croatian,Afrički ibis
25,Animalia,"Trachemys scripta Schoepff, 1792",Croatian,Crvenouha kornjača
26,Animalia,"Vespa velutina nigrithorax de Buysson, 1905",Croatian,Azijski stršljen
27,Plantae,Alternanthera philoxeroides (Mart.) Griseb.,Croatian,Krokodilska trava
28,Plantae,Asclepias syriaca L.,Croatian,cigansko perje
29,Plantae,Baccharis halimifolia L.,Croatian,istočnoamerički baharis
30,Plantae,Cabomba caroliniana Gray,Croatian,zelena kabomba
31,Plantae,Eichhornia crassipes (Martius) Solms,Croatian,vodeni zumbul
32,Plantae,Elodea nuttallii (Planch.) H. St. John,Croatian,Nuttalliieva vodena kuga
33,Plantae,Gunnera tinctoria (Molina) Mirbel ,Croatian,Čileanska rabarbara
34,Plantae,Heracleum mantegazzianum Sommier & Levier,Croatian,divovski svinjski korov 
35,Plantae,Heracleum persicum Fischer,Croatian,golpar
35,Plantae,Heracleum persicum Fischer,Croatian,perzijski svinjski korov
36,Plantae,Heracleum sosnowskyi Mandenova,Croatian,Sosnowskijev svinjski korov
37,Plantae,Hydrocotyle ranunculoides L. f.,Croatian,žabnjački ljepušak
38,Plantae,Impatiens glandulifera Royle,Croatian,žljezdasti nedirak
39,Plantae,Lagarosiphon major (Ridley) Moss,Croatian,veliki lagarosifon (afrička vodena kuga)
40,Plantae,Ludwigia grandiflora (Michx.) Greuter & Burdet,Croatian,velecvjetna močvarna mekčina
41,Plantae,Ludwigia peploides (Kunth) P.H. Raven,Croatian,plutajuća močvarna mekčina
42,Plantae,Lysichiton americanus Hultén and St. John,Croatian,američki lisihiton
43,Plantae,Microstegium vimineum (Trin.) A.Camus,Croatian,Japanska trava
44,Plantae,Myriophyllum aquaticum (Vell.) Verdc.,Croatian,Vodeni krocanj
45,Plantae,Myriophyllum heterophyllum Michx.,Croatian,no common name
46,Plantae,Parthenium hysterophorus L.,Croatian,Partenium
47,Plantae,Pennisetum setaceum (Forssk.) Chiov.,Croatian,Pernata trava/ Rubrum
48,Plantae,Persicaria perfoliata (L.) H. Gross (Polygonum perfoliatum L.),Croatian,prorasla perzikarija
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),Croatian,Puerarija
