no,kingdom,eu_name,language,common_name
1,Animalia,"Alopochen aegyptiaca Linnaeus, 1766",Hungarian,Gé Éigipteach
1,Animalia,"Alopochen aegyptiaca Linnaeus, 1766",Hungarian,Nílusi lúd
2,Animalia,"Callosciurus erythraeus Pallas, 1779",Hungarian,csinos tarkamókus
3,Animalia,"Corvus splendens Viellot, 1817",Hungarian,indiai varjú
4,Animalia,"Eriocheir sinensis H. Milne Edwards, 1854",Hungarian,kínai gyapjasollósrák
5,Animalia,"Herpestes javanicus É. Geoffroy Saint-Hilaire, 1818",Hungarian,jávai mongúz
6,Animalia,"Lithobates (Rana) catesbeianus Shaw, 1802",Hungarian,amerikai ökörbéka
7,Animalia,"Muntiacus reevesi Ogilby, 1839",Hungarian,kínai muntyákszarvas
8,Animalia,"Myocastor coypus Molina, 1782",Hungarian,nutria
9,Animalia,"Nasua nasua Linnaeus, 1766",Hungarian,vörösorrú koáti (ormányosmedve)
10,Animalia,Nyctereutes procyonoides Gray 1834,Hungarian,nyestkutya
11,Animalia,"Ondatra zibethicus (Linnaeus, 1766)",Hungarian,pézsmapocok
12,Animalia,"Orconectes limosus Rafinesque, 1817",Hungarian,cifrarák
13,Animalia,"Orconectes virilis Hagen, 1870",Hungarian,északi cifrarák
14,Animalia,"Oxyura jamaicensis Gmelin, 1789",Hungarian,halcsontfarkú réce
15,Animalia,"Pacifastacus leniusculus Dana, 1852",Hungarian,Jelzőrák
16,Animalia,"Perccottus glenii Dybowski, 1877",Hungarian,amurgéb
17,Animalia,"Procambarus clarkii Girard, 1852",Hungarian,kaliforniai vörösrák
18,Animalia,"Procambarus fallax (Hagen, 1870) f. virginalis",Hungarian,virginiai márványrák
19,Animalia,"Procyon lotor Linnaeus, 1758",Hungarian,mosómedve
20,Animalia,"Pseudorasbora parva Temminck & Schlegel, 1846",Hungarian,kínai razbóra
20,Animalia,"Pseudorasbora parva Temminck & Schlegel, 1846",Hungarian,Kinai razbra
21,Animalia,"Sciurus carolinensis Gmelin, 1788",Hungarian,szürke mókus
22,Animalia,"Sciurus niger Linnaeus, 1758",Hungarian,amerikai rókamókus
23,Animalia,"Tamias sibiricus Laxmann, 1769",Hungarian,szibériai csíkosmókus (burunduk)
24,Animalia,"Threskiornis aethiopicus Latham, 1790",Hungarian,szent íbisz
25,Animalia,"Trachemys scripta Schoepff, 1792",Hungarian,közönséges ékszerteknős
26,Animalia,"Vespa velutina nigrithorax de Buysson, 1905",Hungarian,ázsiai lódarázs
27,Plantae,Alternanthera philoxeroides (Mart.) Griseb.,Hungarian,aligátorfű
28,Plantae,Asclepias syriaca L.,Hungarian,közönséges selyemkóró
29,Plantae,Baccharis halimifolia L.,Hungarian,borfa
29,Plantae,Baccharis halimifolia L.,Hungarian,tengerparti seprűcserje
30,Plantae,Cabomba caroliniana Gray,Hungarian,karolinai tündérhínár
31,Plantae,Eichhornia crassipes (Martius) Solms,Hungarian,közönséges vízijácint
32,Plantae,Elodea nuttallii (Planch.) H. St. John,Hungarian,cingár (aprólevelű) átokhínár
33,Plantae,Gunnera tinctoria (Molina) Mirbel ,Hungarian,chilei óriáslapu
33,Plantae,Gunnera tinctoria (Molina) Mirbel ,Hungarian,chilei óriásrebarbara
34,Plantae,Heracleum mantegazzianum Sommier & Levier,Hungarian,kaukázusi medvetalp
35,Plantae,Heracleum persicum Fischer,Hungarian,perzsa medvetalp
36,Plantae,Heracleum sosnowskyi Mandenova,Hungarian,Szosznovszkij  medvetalp
37,Plantae,Hydrocotyle ranunculoides L. f.,Hungarian,hévízi gázló
38,Plantae,Impatiens glandulifera Royle,Hungarian,bíbor nebáncsvirág
39,Plantae,Lagarosiphon major (Ridley) Moss,Hungarian,nagy fodros  átokhínár
40,Plantae,Ludwigia grandiflora (Michx.) Greuter & Burdet,Hungarian,nagyvirágú tóalma
41,Plantae,Ludwigia peploides (Kunth) P.H. Raven,Hungarian,sárga tóalma
42,Plantae,Lysichiton americanus Hultén and St. John,Hungarian,sárga lápbuzogány
43,Plantae,Microstegium vimineum (Trin.) A.Camus,Hungarian,japán gázlófű
44,Plantae,Myriophyllum aquaticum (Vell.) Verdc.,Hungarian,strucctoll  süllőhínár
45,Plantae,Myriophyllum heterophyllum Michx.,Hungarian,felemáslevelű süllőhínár
46,Plantae,Parthenium hysterophorus L.,Hungarian,keserű hamisüröm
47,Plantae,Pennisetum setaceum (Forssk.) Chiov.,Hungarian,zárt tartásban előfordul
48,Plantae,Persicaria perfoliata (L.) H. Gross (Polygonum perfoliatum L.),Hungarian,ördögfarok keserűfű
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),Hungarian,kudzu nyílgyökér
