no,kingdom,eu_name,language,common_name
1,Animalia,"Alopochen aegyptiaca Linnaeus, 1766",Irish,Gé Éigipteach
2,Animalia,"Callosciurus erythraeus Pallas, 1779",Irish,no common name
3,Animalia,"Corvus splendens Viellot, 1817",Irish,no common name
4,Animalia,"Eriocheir sinensis H. Milne Edwards, 1854",Irish,Portán miotógach
5,Animalia,"Herpestes javanicus É. Geoffroy Saint-Hilaire, 1818",Irish,no common name
6,Animalia,"Lithobates (Rana) catesbeianus Shaw, 1802",Irish,Tarbhfhrog Meiriceánach
7,Animalia,"Muntiacus reevesi Ogilby, 1839",Irish,Muinseac
8,Animalia,"Myocastor coypus Molina, 1782",Irish,Francach abhann
9,Animalia,"Nasua nasua Linnaeus, 1766",Irish,no common name
10,Animalia,Nyctereutes procyonoides Gray 1834,Irish,no common name
11,Animalia,"Ondatra zibethicus (Linnaeus, 1766)",Irish,Muscfhrancach
12,Animalia,"Orconectes limosus Rafinesque, 1817",Irish,no common name
13,Animalia,"Orconectes virilis Hagen, 1870",Irish,no common name
14,Animalia,"Oxyura jamaicensis Gmelin, 1789",Irish,Lacha rua
15,Animalia,"Pacifastacus leniusculus Dana, 1852",Irish,no common name
16,Animalia,"Perccottus glenii Dybowski, 1877",Irish,no common name
17,Animalia,"Procambarus clarkii Girard, 1852",Irish,no common name
18,Animalia,"Procambarus fallax (Hagen, 1870) f. virginalis",Irish,no common name
19,Animalia,"Procyon lotor Linnaeus, 1758",Irish,no common name
20,Animalia,"Pseudorasbora parva Temminck & Schlegel, 1846",Irish,no common name
21,Animalia,"Sciurus carolinensis Gmelin, 1788",Irish,Iora glas
22,Animalia,"Sciurus niger Linnaeus, 1758",Irish,no common name
23,Animalia,"Tamias sibiricus Laxmann, 1769",Irish,Iora talún Sibéarach
24,Animalia,"Threskiornis aethiopicus Latham, 1790",Irish,no common name
25,Animalia,"Trachemys scripta Schoepff, 1792",Irish,no common name
26,Animalia,"Vespa velutina nigrithorax de Buysson, 1905",Irish,no common name
27,Plantae,Alternanthera philoxeroides (Mart.) Griseb.,Irish,no common name
28,Plantae,Asclepias syriaca L.,Irish,no common name
29,Plantae,Baccharis halimifolia L.,Irish,no common name
30,Plantae,Cabomba caroliniana Gray,Irish,Feanlus
31,Plantae,Eichhornia crassipes (Martius) Solms,Irish,no common name
32,Plantae,Elodea nuttallii (Planch.) H. St. John,Irish,no common name
33,Plantae,Gunnera tinctoria (Molina) Mirbel ,Irish,Gunnaire
34,Plantae,Heracleum mantegazzianum Sommier & Levier,Irish,Feabhrán capaill
35,Plantae,Heracleum persicum Fischer,Irish,no common name
36,Plantae,Heracleum sosnowskyi Mandenova,Irish,no common name
37,Plantae,Hydrocotyle ranunculoides L. f.,Irish,Lus pingine snámhach
38,Plantae,Impatiens glandulifera Royle,Irish,Lus na pléisce
39,Plantae,Lagarosiphon major (Ridley) Moss,Irish,Líobhógach Afracach
40,Plantae,Ludwigia grandiflora (Michx.) Greuter & Burdet,Irish,no common name
41,Plantae,Ludwigia peploides (Kunth) P.H. Raven,Irish,no common name
42,Plantae,Lysichiton americanus Hultén and St. John,Irish,Geathar buí
43,Plantae,Microstegium vimineum (Trin.) A.Camus,Irish,no common name
44,Plantae,Myriophyllum aquaticum (Vell.) Verdc.,Irish,Líonán cleiteach
45,Plantae,Myriophyllum heterophyllum Michx.,Irish,no common name
46,Plantae,Parthenium hysterophorus L.,Irish,no common name
47,Plantae,Pennisetum setaceum (Forssk.) Chiov.,Irish,no common name
48,Plantae,Persicaria perfoliata (L.) H. Gross (Polygonum perfoliatum L.),Irish,Fíniún Rúiseach
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),Irish,no common name
