no,kingdom,eu_name,language,common_name
1,Animalia,"Alopochen aegyptiaca Linnaeus, 1766",Italian,Oca egiziana
2,Animalia,"Callosciurus erythraeus Pallas, 1779",Italian,Scoiattolo di Pallas 
3,Animalia,"Corvus splendens Viellot, 1817",Italian,Cornacchia delle case
3,Animalia,"Corvus splendens Viellot, 1817",Italian,Cornacchia grigia indiana
3,Animalia,"Corvus splendens Viellot, 1817",Italian,Corvo delle case
3,Animalia,"Corvus splendens Viellot, 1817",Italian,Corvo indiano delle case
4,Animalia,"Eriocheir sinensis H. Milne Edwards, 1854",Italian,Granchio cinese 
5,Animalia,"Herpestes javanicus É. Geoffroy Saint-Hilaire, 1818",Italian,Mangusta di Giava
5,Animalia,"Herpestes javanicus É. Geoffroy Saint-Hilaire, 1818",Italian,Mangusta indiana
6,Animalia,"Lithobates (Rana) catesbeianus Shaw, 1802",Italian,Rana toro americana
6,Animalia,"Lithobates (Rana) catesbeianus Shaw, 1802",Italian,Ranat toro
7,Animalia,"Muntiacus reevesi Ogilby, 1839",Italian,Muntjak cinese
7,Animalia,"Muntiacus reevesi Ogilby, 1839",Italian,Muntjak della Cina
7,Animalia,"Muntiacus reevesi Ogilby, 1839",Italian,Muntjak di Reeves
8,Animalia,"Myocastor coypus Molina, 1782",Italian,Castorino
8,Animalia,"Myocastor coypus Molina, 1782",Italian,Nutria
9,Animalia,"Nasua nasua Linnaeus, 1766",Italian,Coati
9,Animalia,"Nasua nasua Linnaeus, 1766",Italian,Coati rosso
9,Animalia,"Nasua nasua Linnaeus, 1766",Italian,Nasua
9,Animalia,"Nasua nasua Linnaeus, 1766",Italian,Nasua rosso
10,Animalia,Nyctereutes procyonoides Gray 1834,Italian,Cane procione
10,Animalia,Nyctereutes procyonoides Gray 1834,Italian,Cane viverrino
10,Animalia,Nyctereutes procyonoides Gray 1834,Italian,Tanuki
11,Animalia,"Ondatra zibethicus (Linnaeus, 1766)",Italian,Lontra dello Hudson
11,Animalia,"Ondatra zibethicus (Linnaeus, 1766)",Italian,Ondatra
11,Animalia,"Ondatra zibethicus (Linnaeus, 1766)",Italian,Topo muschiato
12,Animalia,"Orconectes limosus Rafinesque, 1817",Italian,Gambero americano
13,Animalia,"Orconectes virilis Hagen, 1870",Italian,Gambero virile
14,Animalia,"Oxyura jamaicensis Gmelin, 1789",Italian,Gobbo della Giamaica
15,Animalia,"Pacifastacus leniusculus Dana, 1852",Italian,Gambero della California
15,Animalia,"Pacifastacus leniusculus Dana, 1852",Italian,Gambero segnalatore
16,Animalia,"Perccottus glenii Dybowski, 1877",Italian,no common name
17,Animalia,"Procambarus clarkii Girard, 1852",Italian,Gambero della Louisiana
17,Animalia,"Procambarus clarkii Girard, 1852",Italian,Gambero killer
17,Animalia,"Procambarus clarkii Girard, 1852",Italian,Gambero rosso americano
