no,kingdom,eu_name,language,common_name
1,Animalia,"Alopochen aegyptiaca Linnaeus, 1766",Lithuanian,egiptinė žąsis
2,Animalia,"Callosciurus erythraeus Pallas, 1779",Lithuanian,Palaso voverė
3,Animalia,"Corvus splendens Viellot, 1817",Lithuanian,indinė varna
4,Animalia,"Eriocheir sinensis H. Milne Edwards, 1854",Lithuanian,apželtkojis krabas
5,Animalia,"Herpestes javanicus É. Geoffroy Saint-Hilaire, 1818",Lithuanian,javinė mangusta
6,Animalia,"Lithobates (Rana) catesbeianus Shaw, 1802",Lithuanian,jautinė varlė
7,Animalia,"Muntiacus reevesi Ogilby, 1839",Lithuanian,kininis muntjakas
8,Animalia,"Myocastor coypus Molina, 1782",Lithuanian,nutrija
9,Animalia,"Nasua nasua Linnaeus, 1766",Lithuanian,paprastasis koatis
10,Animalia,Nyctereutes procyonoides Gray 1834,Lithuanian,mangutas 
10,Animalia,Nyctereutes procyonoides Gray 1834,Lithuanian,usūrinis šuo
11,Animalia,"Ondatra zibethicus (Linnaeus, 1766)",Lithuanian,ondatra
12,Animalia,"Orconectes limosus Rafinesque, 1817",Lithuanian,rainuotasis vėžys
13,Animalia,"Orconectes virilis Hagen, 1870",Lithuanian,šiurkštusis vėžys
14,Animalia,"Oxyura jamaicensis Gmelin, 1789",Lithuanian,baltaskruostė stačiauodegė
15,Animalia,"Pacifastacus leniusculus Dana, 1852",Lithuanian,žymėtasis vėžys
16,Animalia,"Perccottus glenii Dybowski, 1877",Lithuanian,nuodėgulinis grundalas
17,Animalia,"Procambarus clarkii Girard, 1852",Lithuanian,Klarko vėžys
18,Animalia,"Procambarus fallax (Hagen, 1870) f. virginalis",Lithuanian,marmurinis vėžys
19,Animalia,"Procyon lotor Linnaeus, 1758",Lithuanian,paprastasis meškėnas
20,Animalia,"Pseudorasbora parva Temminck & Schlegel, 1846",Lithuanian,rytinis gružlelis
21,Animalia,"Sciurus carolinensis Gmelin, 1788",Lithuanian,pilkoji voverė
22,Animalia,"Sciurus niger Linnaeus, 1758",Lithuanian,juodoji voverė
23,Animalia,"Tamias sibiricus Laxmann, 1769",Lithuanian,sibirinis burundukas
24,Animalia,"Threskiornis aethiopicus Latham, 1790",Lithuanian,šventasis ibis
25,Animalia,"Trachemys scripta Schoepff, 1792",Lithuanian,raštuotasis vėžlys
26,Animalia,"Vespa velutina nigrithorax de Buysson, 1905",Lithuanian,azijinis juodnugaris širšuolas
27,Plantae,Alternanthera philoxeroides (Mart.) Griseb.,Lithuanian,sausalapė alstė 
28,Plantae,Asclepias syriaca L.,Lithuanian,sirinis klemalis
29,Plantae,Baccharis halimifolia L.,Lithuanian,pajūrinė varva
30,Plantae,Cabomba caroliniana Gray,Lithuanian,paprastasis labūstras 
31,Plantae,Eichhornia crassipes (Martius) Solms,Lithuanian,paprastoji eichornija
32,Plantae,Elodea nuttallii (Planch.) H. St. John,Lithuanian, suktalapė  elodėja
33,Plantae,Gunnera tinctoria (Molina) Mirbel ,Lithuanian,čilinė gunera
34,Plantae,Heracleum mantegazzianum Sommier & Levier,Lithuanian,Mantegacio barštis
35,Plantae,Heracleum persicum Fischer,Lithuanian,persinis barštis
36,Plantae,Heracleum sosnowskyi Mandenova,Lithuanian,Sosnovskio barštis
37,Plantae,Hydrocotyle ranunculoides L. f.,Lithuanian,vėdryninė raistenė
38,Plantae,Impatiens glandulifera Royle,Lithuanian,bitinė sprigė
39,Plantae,Lagarosiphon major (Ridley) Moss,Lithuanian,didysis vandrūnėlis
40,Plantae,Ludwigia grandiflora (Michx.) Greuter & Burdet,Lithuanian,stambiažiedė liudvigija
41,Plantae,Ludwigia peploides (Kunth) P.H. Raven,Lithuanian,gulsčioji liudvigija
42,Plantae,Lysichiton americanus Hultén and St. John,Lithuanian,amerikinis dvokūnas
43,Plantae,Microstegium vimineum (Trin.) A.Camus,Lithuanian,lanksčioji stypnė
44,Plantae,Myriophyllum aquaticum (Vell.) Verdc.,Lithuanian,stambioji  plunksnalapė
45,Plantae,Myriophyllum heterophyllum Michx.,Lithuanian,kaičioji plunksnalapė
46,Plantae,Parthenium hysterophorus L.,Lithuanian,vėlyvoji gvajulė
47,Plantae,Pennisetum setaceum (Forssk.) Chiov.,Lithuanian,šeriuotoji soruolė
48,Plantae,Persicaria perfoliata (L.) H. Gross (Polygonum perfoliatum L.),Lithuanian,raizgusis rūgtis
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),Lithuanian,kalninės puerarijos skiautėtalapis varietetas
