no,kingdom,eu_name,language,common_name
1,Animalia,"Alopochen aegyptiaca Linnaeus, 1766",Maltese ,Wiżża tal-Eġittu 
2,Animalia,"Callosciurus erythraeus Pallas, 1779",Maltese ,no common name
3,Animalia,"Corvus splendens Viellot, 1817",Maltese ,no common name
4,Animalia,"Eriocheir sinensis H. Milne Edwards, 1854",Maltese ,no common name
5,Animalia,"Herpestes javanicus É. Geoffroy Saint-Hilaire, 1818",Maltese ,no common name
6,Animalia,"Lithobates (Rana) catesbeianus Shaw, 1802",Maltese ,no common name
7,Animalia,"Muntiacus reevesi Ogilby, 1839",Maltese ,no common name
8,Animalia,"Myocastor coypus Molina, 1782",Maltese ,no common name
9,Animalia,"Nasua nasua Linnaeus, 1766",Maltese ,no common name
10,Animalia,Nyctereutes procyonoides Gray 1834,Maltese ,no common name
11,Animalia,"Ondatra zibethicus (Linnaeus, 1766)",Maltese ,no common name
12,Animalia,"Orconectes limosus Rafinesque, 1817",Maltese ,no common name
13,Animalia,"Orconectes virilis Hagen, 1870",Maltese ,no common name
14,Animalia,"Oxyura jamaicensis Gmelin, 1789",Maltese ,no common name
15,Animalia,"Pacifastacus leniusculus Dana, 1852",Maltese ,no common name
16,Animalia,"Perccottus glenii Dybowski, 1877",Maltese ,no common name
17,Animalia,"Procambarus clarkii Girard, 1852",Maltese ,Awwista tal-Ilma Ħelu
17,Animalia,"Procambarus clarkii Girard, 1852",Maltese ,Ċkala tal-Ilma Ħelu 
17,Animalia,"Procambarus clarkii Girard, 1852",Maltese ,Gamblu tal-Ilma Ħelu 
18,Animalia,"Procambarus fallax (Hagen, 1870) f. virginalis",Maltese ,no common name
19,Animalia,"Procyon lotor Linnaeus, 1758",Maltese ,no common name
20,Animalia,"Pseudorasbora parva Temminck & Schlegel, 1846",Maltese ,no common name
21,Animalia,"Sciurus carolinensis Gmelin, 1788",Maltese ,no common name
22,Animalia,"Sciurus niger Linnaeus, 1758",Maltese ,no common name
23,Animalia,"Tamias sibiricus Laxmann, 1769",Maltese ,no common name
24,Animalia,"Threskiornis aethiopicus Latham, 1790",Maltese ,no common name
25,Animalia,"Trachemys scripta Schoepff, 1792",Maltese ,Fekruna tal-Ilma Ħelu
26,Animalia,"Vespa velutina nigrithorax de Buysson, 1905",Maltese ,no common name
27,Plantae,Alternanthera philoxeroides (Mart.) Griseb.,Maltese ,no common name
28,Plantae,Asclepias syriaca L.,Maltese ,no common name
29,Plantae,Baccharis halimifolia L.,Maltese ,no common name
30,Plantae,Cabomba caroliniana Gray,Maltese ,Kabomba
31,Plantae,Eichhornia crassipes (Martius) Solms,Maltese ,Ġjacint tal-Ilma 
32,Plantae,Elodea nuttallii (Planch.) H. St. John,Maltese ,no common name
33,Plantae,Gunnera tinctoria (Molina) Mirbel ,Maltese ,no common name
34,Plantae,Heracleum mantegazzianum Sommier & Levier,Maltese ,no common name
35,Plantae,Heracleum persicum Fischer,Maltese ,no common name
36,Plantae,Heracleum sosnowskyi Mandenova,Maltese ,no common name
37,Plantae,Hydrocotyle ranunculoides L. f.,Maltese ,no common name
38,Plantae,Impatiens glandulifera Royle,Maltese ,no common name
39,Plantae,Lagarosiphon major (Ridley) Moss,Maltese ,no common name
40,Plantae,Ludwigia grandiflora (Michx.) Greuter & Burdet,Maltese ,no common name
41,Plantae,Ludwigia peploides (Kunth) P.H. Raven,Maltese ,no common name
42,Plantae,Lysichiton americanus Hultén and St. John,Maltese ,no common name
43,Plantae,Microstegium vimineum (Trin.) A.Camus,Maltese ,no common name
44,Plantae,Myriophyllum aquaticum (Vell.) Verdc.,Maltese ,no common name
45,Plantae,Myriophyllum heterophyllum Michx.,Maltese ,no common name
46,Plantae,Parthenium hysterophorus L.,Maltese ,no common name
47,Plantae,Pennisetum setaceum (Forssk.) Chiov.,Maltese ,Pjuma
47,Plantae,Pennisetum setaceum (Forssk.) Chiov.,Maltese ,Rixa Twila 
48,Plantae,Persicaria perfoliata (L.) H. Gross (Polygonum perfoliatum L.),Maltese ,no common name
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),Maltese ,no common name
