no,kingdom,eu_name,language,common_name
1,Animalia,"Alopochen aegyptiaca Linnaeus, 1766",Dutch,Nijlgans
2,Animalia,"Callosciurus erythraeus Pallas, 1779",Dutch,Pallas' eekhoorn
3,Animalia,"Corvus splendens Viellot, 1817",Dutch,Huiskraai
4,Animalia,"Eriocheir sinensis H. Milne Edwards, 1854",Dutch,Chinese Wolhandkrab
5,Animalia,"Herpestes javanicus É. Geoffroy Saint-Hilaire, 1818",Dutch,Indische mangoeste
6,Animalia,"Lithobates (Rana) catesbeianus Shaw, 1802",Dutch,Amerikaanse stierkikker
6,Animalia,"Lithobates (Rana) catesbeianus Shaw, 1802",Dutch,Brulkikker
6,Animalia,"Lithobates (Rana) catesbeianus Shaw, 1802",Dutch,Stierkikker
7,Animalia,"Muntiacus reevesi Ogilby, 1839",Dutch,Muntjak
8,Animalia,"Myocastor coypus Molina, 1782",Dutch,Beverrat
8,Animalia,"Myocastor coypus Molina, 1782",Dutch,Moerasbever
9,Animalia,"Nasua nasua Linnaeus, 1766",Dutch,Rode neusbeer
9,Animalia,"Nasua nasua Linnaeus, 1766",Dutch,Zuid-Amerikaanse coati
10,Animalia,Nyctereutes procyonoides Gray 1834,Dutch,Wasbeerhond
11,Animalia,"Ondatra zibethicus (Linnaeus, 1766)",Dutch,bisamrat
11,Animalia,"Ondatra zibethicus (Linnaeus, 1766)",Dutch,muskusrat
12,Animalia,"Orconectes limosus Rafinesque, 1817",Dutch,Gevlekte Amerikaanse rivierkreeft
14,Animalia,"Oxyura jamaicensis Gmelin, 1789",Dutch,Rosse stekelstaart
15,Animalia,"Pacifastacus leniusculus Dana, 1852",Dutch,Californische rivierkreeft
16,Animalia,"Perccottus glenii Dybowski, 1877",Dutch,"Perccottus glenii Dybowski, 1877"
17,Animalia,"Procambarus clarkii Girard, 1852",Dutch,Rode Amerikaanse rivierkreeft
18,Animalia,"Procambarus fallax (Hagen, 1870) f. virginalis",Dutch,Marmerkreeft
19,Animalia,"Procyon lotor Linnaeus, 1758",Dutch,Wasbeer
20,Animalia,"Pseudorasbora parva Temminck & Schlegel, 1846",Dutch,Blauwband
21,Animalia,"Sciurus carolinensis Gmelin, 1788",Dutch,Grijze eekhoorn
22,Animalia,"Sciurus niger Linnaeus, 1758",Dutch,Amerikaanse voseekhoorn
22,Animalia,"Sciurus niger Linnaeus, 1758",Dutch,Zwarte eekhoorn
23,Animalia,"Tamias sibiricus Laxmann, 1769",Dutch,Aziatische gestreepte grondeekhoorn
23,Animalia,"Tamias sibiricus Laxmann, 1769",Dutch,Aziatische grondeekhoorn
23,Animalia,"Tamias sibiricus Laxmann, 1769",Dutch,Boeroendoek
23,Animalia,"Tamias sibiricus Laxmann, 1769",Dutch,Koreaanse grondeekhoorn
23,Animalia,"Tamias sibiricus Laxmann, 1769",Dutch,Siberische grondeekhoorn
24,Animalia,"Threskiornis aethiopicus Latham, 1790",Dutch,Heilige Ibis
25,Animalia,Trachemys scripta subsp. scripta,Dutch,geelbuikschildpad
25,Animalia,Trachemys scripta  subsp.troostii,Dutch,geelwangschildpad 
25,Animalia,"Trachemys scripta Schoepff, 1792",Dutch,Lettersierschildpad
25,Animalia,Trachemys scripta subsp.troostii,Dutch,roodwangschildpad
26,Animalia,"Vespa velutina nigrithorax de Buysson, 1905",Dutch,Aziatische hoornaar
27,Plantae,Alternanthera philoxeroides (Mart.) Griseb.,Dutch,alligatorkruid
28,Plantae,Asclepias syriaca L.,Dutch,Zijdeplant
29,Plantae,Baccharis halimifolia L.,Dutch,Struikaster
30,Plantae,Cabomba caroliniana Gray,Dutch,Waterwaaier
31,Plantae,Eichhornia crassipes (Martius) Solms,Dutch,Waterhyacint
32,Plantae,Elodea nuttallii (Planch.) H. St. John,Dutch,smalle waterpest
33,Plantae,Gunnera tinctoria (Molina) Mirbel ,Dutch,Gewone gunnera
34,Plantae,Heracleum mantegazzianum Sommier & Levier,Dutch,Reuzenberenklauw
35,Plantae,Heracleum persicum Fischer,Dutch,Perzische berenklauw
36,Plantae,Heracleum sosnowskyi Mandenova,Dutch,Sosnowsky's berenklauw
37,Plantae,Hydrocotyle ranunculoides L. f.,Dutch,Grote waternavel
38,Plantae,Impatiens glandulifera Royle,Dutch,reuzenbalsemien
39,Plantae,Lagarosiphon major (Ridley) Moss,Dutch,Verspreidbladige waterpest
40,Plantae,Ludwigia grandiflora (Michx.) Greuter & Burdet,Dutch,Waterteunisbloem
41,Plantae,Ludwigia peploides (Kunth) P.H. Raven,Dutch,Kleine waterteunisbloem
42,Plantae,Lysichiton americanus Hultén and St. John,Dutch,Moeraslantaarn
43,Plantae,Microstegium vimineum (Trin.) A.Camus,Dutch,Japans steltgras
44,Plantae,Myriophyllum aquaticum (Vell.) Verdc.,Dutch,Parelvederkruid
45,Plantae,Myriophyllum heterophyllum Michx.,Dutch,ongelijkbladig vederkruid
46,Plantae,Parthenium hysterophorus L.,Dutch,Schijnambrosia
47,Plantae,Pennisetum setaceum (Forssk.) Chiov.,Dutch,fraai lampenpoetsergras
48,Plantae,Persicaria perfoliata (L.) H. Gross (Polygonum perfoliatum L.),Dutch,Gestekelde duizendknoop
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),Dutch,Kudzu
