no,kingdom,eu_name,language,common_name
1,Animalia,"Alopochen aegyptiaca Linnaeus, 1766",Polish,Ges egipska
1,Animalia,"Alopochen aegyptiaca Linnaeus, 1766",Polish,Gęś egipska
1,Animalia,"Alopochen aegyptiaca Linnaeus, 1766",Polish,Gęsiówka egipska
1,Animalia,"Alopochen aegyptiaca Linnaeus, 1766",Polish,Kazarka egipska
2,Animalia,"Callosciurus erythraeus Pallas, 1779",Polish,Wiewiórczak rdzawobrzuchy
3,Animalia,"Corvus splendens Viellot, 1817",Polish,Wrona orientalna
4,Animalia,"Eriocheir sinensis H. Milne Edwards, 1854",Polish,Krab wełnistoręki
4,Animalia,"Eriocheir sinensis H. Milne Edwards, 1854",Polish,Krab wełnistoszczypcy
5,Animalia,"Herpestes javanicus É. Geoffroy Saint-Hilaire, 1818",Polish,Mangusta złocista
6,Animalia,"Lithobates (Rana) catesbeianus Shaw, 1802",Polish,Żaba byk
6,Animalia,"Lithobates (Rana) catesbeianus Shaw, 1802",Polish,Żaba rycząca
6,Animalia,"Lithobates (Rana) catesbeianus Shaw, 1802",Polish,Żaba wól
7,Animalia,"Muntiacus reevesi Ogilby, 1839",Polish,Mundżak
8,Animalia,"Myocastor coypus Molina, 1782",Polish,Nutria
9,Animalia,"Nasua nasua Linnaeus, 1766",Polish,Koati
10,Animalia,Nyctereutes procyonoides Gray 1834,Polish,Jenot
10,Animalia,Nyctereutes procyonoides Gray 1834,Polish,Junat
11,Animalia,"Ondatra zibethicus (Linnaeus, 1766)",Polish,Piżmak
11,Animalia,"Orconectes limosus Rafinesque, 1817",Polish,Rak amerykański
12,Animalia,"Orconectes limosus Rafinesque, 1817",Polish,Rak pręgowany
12,Animalia,"Orconectes limosus Rafinesque, 1817",Polish,Rak pręgowaty
13,Animalia,"Orconectes virilis Hagen, 1870",Polish,Rak prężny
14,Animalia,"Oxyura jamaicensis Gmelin, 1789",Polish,Sterniczka jamajska
15,Animalia,"Pacifastacus leniusculus Dana, 1852",Polish,Rak sygnałowy
16,Animalia,"Perccottus glenii Dybowski, 1877",Polish,no common name
16,Animalia,"Perccottus glenii Dybowski, 1877",Polish,Trawianka
17,Animalia,"Procambarus clarkii Girard, 1852",Polish,Rak luizjański
18,Animalia,"Procambarus fallax (Hagen, 1870) f. virginalis",Polish,Rak marmurkowy
19,Animalia,"Procyon lotor Linnaeus, 1758",Polish,Szop pracz
20,Animalia,"Pseudorasbora parva Temminck & Schlegel, 1846",Polish,Czebaczek amurski
20,Animalia,"Pseudorasbora parva Temminck & Schlegel, 1846",Polish,Kielb amurski
20,Animalia,"Pseudorasbora parva Temminck & Schlegel, 1846",Polish,no common name
21,Animalia,"Sciurus carolinensis Gmelin, 1788",Polish,Wiewiórka szara
22,Animalia,"Sciurus niger Linnaeus, 1758",Polish,Wiewiórka czarna
23,Animalia,"Tamias sibiricus Laxmann, 1769",Polish,Burunduk
24,Animalia,"Threskiornis aethiopicus Latham, 1790",Polish,Ibis czczony
25,Animalia,Trachemys scripta  subsp. elegans,Polish,Żółw czerwonolicy
25,Animalia,Trachemys scripta  subsp. elegans,Polish,Żółw czerwonouchy
25,Animalia,"Trachemys scripta Schoepff, 1792",Polish,Żółw ozdobny
25,Animalia,Trachemys scripta  subsp. elegans,Polish,Żółw wodno lądowy
25,Animalia,Trachemys scripta  subsp. elegans,Polish,Żółw wodno-lądowy
25,Animalia,Trachemys scripta subsp. scripta,Polish,Żółw żółtobrzuchy
25,Animalia,Trachemys scripta  subsp.troostii,Polish,Żółw żółtolicy
25,Animalia,Trachemys scripta  subsp.troostii,Polish,Żółw żółtouchy
26,Animalia,"Vespa velutina nigrithorax de Buysson, 1905",Polish,no common name
27,Plantae,Alternanthera philoxeroides (Mart.) Griseb.,Polish,no common name
28,Plantae,Asclepias syriaca L.,Polish,Trojeść amerykańska
29,Plantae,Baccharis halimifolia L.,Polish,no common name
30,Plantae,Cabomba caroliniana Gray,Polish,Kabomba karolińska
31,Plantae,Eichhornia crassipes (Martius) Solms,Polish,Eichornia gruboogonkowa
31,Plantae,Eichhornia crassipes (Martius) Solms,Polish,Hiacynt wodny
32,Plantae,Elodea nuttallii (Planch.) H. St. John,Polish,Moczarka delikatna
33,Plantae,Gunnera tinctoria (Molina) Mirbel ,Polish,Gunnera brazylijska
34,Plantae,Heracleum mantegazzianum Sommier & Levier,Polish,Barszcz kaukaski
34,Plantae,Heracleum mantegazzianum Sommier & Levier,Polish,Barszcz mantegazyjski
34,Plantae,Heracleum mantegazzianum Sommier & Levier,Polish,Barszcz Mantegazziego
35,Plantae,Heracleum persicum Fischer,Polish,Barszcz perski
36,Plantae,Heracleum sosnowskyi Mandenova,Polish,Barszcz Sosnowskiego
37,Plantae,Hydrocotyle ranunculoides L. f.,Polish,Wąkrotka jaskrowata
37,Plantae,Hydrocotyle ranunculoides L. f.,Polish,Wątkrota jaskrowata
