no,kingdom,eu_name,language,common_name
1,Animalia,"Alopochen aegyptiaca Linnaeus, 1766",Portuguese,Ganso-do-Egipto 
2,Animalia,"Callosciurus erythraeus Pallas, 1779",Portuguese, Esquilo-de-barriga-vermelha
2,Animalia,"Callosciurus erythraeus Pallas, 1779",Portuguese,Esquilo-de-Pallas
3,Animalia,"Corvus splendens Viellot, 1817",Portuguese,Corvo-indiano
4,Animalia,"Eriocheir sinensis H. Milne Edwards, 1854",Portuguese,Caranguejo-peludo-chinês 
5,Animalia,"Herpestes javanicus É. Geoffroy Saint-Hilaire, 1818",Portuguese,Mangusto-pequeno-asiático 
6,Animalia,"Lithobates (Rana) catesbeianus Shaw, 1802",Portuguese,"Rã-touro-americana, Rã-touro "
6,Animalia,"Lithobates (Rana) catesbeianus Shaw, 1802",Portuguese,Rã-touro-norte-americana 
7,Animalia,"Muntiacus reevesi Ogilby, 1839",Portuguese,Muntjac-chinês 
7,Animalia,"Muntiacus reevesi Ogilby, 1839",Portuguese,Muntjac-de-reeves
8,Animalia,"Myocastor coypus Molina, 1782",Portuguese,Ratão-d’água 
8,Animalia,"Myocastor coypus Molina, 1782",Portuguese,Ratão-do-banhado
9,Animalia,"Nasua nasua Linnaeus, 1766",Portuguese,Coati-de-cauda-anelada 
9,Animalia,"Nasua nasua Linnaeus, 1766",Portuguese,Quati-de-cauda-anelada
10,Animalia,Nyctereutes procyonoides Gray 1834,Portuguese,Cão-guaxinim
10,Animalia,Nyctereutes procyonoides Gray 1834,Portuguese,cão-mapache
11,Animalia,"Ondatra zibethicus (Linnaeus, 1766)",Portuguese,Rato-almiscarado
12,Animalia,"Orconectes limosus Rafinesque, 1817",Portuguese,Lagostim-dos-canais
13,Animalia,"Orconectes virilis Hagen, 1870",Portuguese,Lagostim-viril
14,Animalia,"Oxyura jamaicensis Gmelin, 1789",Portuguese,Pato-de-rabo-alçado-americano
15,Animalia,"Pacifastacus leniusculus Dana, 1852",Portuguese,lagostim-do-Pacífico
15,Animalia,"Pacifastacus leniusculus Dana, 1852",Portuguese,Lagostim-sinal
16,Animalia,"Perccottus glenii Dybowski, 1877",Portuguese,Peixe-dorminhoco-chinês
17,Animalia,"Procambarus clarkii Girard, 1852",Portuguese,Lagostim-vermelho-da-Louisiana
18,Animalia,"Procambarus fallax (Hagen, 1870) f. virginalis",Portuguese,Lagostim-mármore
19,Animalia,"Procyon lotor Linnaeus, 1758",Portuguese,"Guaxinim, mapache"
20,Animalia,"Pseudorasbora parva Temminck & Schlegel, 1846",Portuguese,Góbio-asiático
21,Animalia,"Sciurus carolinensis Gmelin, 1788",Portuguese,Esquilo-cinzento
22,Animalia,"Sciurus niger Linnaeus, 1758",Portuguese,Esquilo-raposa
23,Animalia,"Tamias sibiricus Laxmann, 1769",Portuguese,Esquilo Coreano
23,Animalia,"Tamias sibiricus Laxmann, 1769",Portuguese,Esquilo-da-Sibéria
23,Animalia,"Tamias sibiricus Laxmann, 1769",Portuguese,Esquilo-siberiano
24,Animalia,"Threskiornis aethiopicus Latham, 1790",Portuguese,Íbis-sagrado
25,Animalia,Trachemys scripta  subsp. elegans,Portuguese,Tartaruga de Faces Rosadas
25,Animalia,Trachemys scripta subsp. scripta,Portuguese,Tartaruga de Orelha amarellas
25,Animalia,"Trachemys scripta Schoepff, 1792",Portuguese,Tartaruga de Orelha Vermelha
25,Animalia,Trachemys scripta  subsp. elegans,Portuguese,Tartaruga-da-florida
26,Animalia,"Vespa velutina nigrithorax de Buysson, 1905",Portuguese, Vespão-asiático
26,Animalia,"Vespa velutina nigrithorax de Buysson, 1905",Portuguese,Vespa-asiática
26,Animalia,"Vespa velutina nigrithorax de Buysson, 1905",Portuguese,Vespa-velutina
27,Plantae,Alternanthera philoxeroides (Mart.) Griseb.,Portuguese,erva-de-jacaré 
27,Plantae,Alternanthera philoxeroides (Mart.) Griseb.,Portuguese,tripa-de-sapo
28,Plantae,Asclepias syriaca L.,Portuguese,algodão-bravo
