no,kingdom,eu_name,language,common_name
1,Animalia,"Alopochen aegyptiaca Linnaeus, 1766",Romanian,Gâscă egipteană
2,Animalia,"Callosciurus erythraeus Pallas, 1779",Romanian,no common name
3,Animalia,"Corvus splendens Viellot, 1817",Romanian,No common name
4,Animalia,"Eriocheir sinensis H. Milne Edwards, 1854",Romanian,Crab chinezesc
5,Animalia,"Herpestes javanicus É. Geoffroy Saint-Hilaire, 1818",Romanian,Mangustă javaneză
6,Animalia,"Lithobates (Rana) catesbeianus Shaw, 1802",Romanian,No common name
7,Animalia,"Muntiacus reevesi Ogilby, 1839",Romanian,No common name
8,Animalia,"Myocastor coypus Molina, 1782",Romanian,Nutrie
9,Animalia,"Nasua nasua Linnaeus, 1766",Romanian,No common name
10,Animalia,Nyctereutes procyonoides Gray 1834,Romanian,Câine enot
11,Animalia,"Ondatra zibethicus (Linnaeus, 1766)",Romanian,Bizam
12,Animalia,"Orconectes limosus Rafinesque, 1817",Romanian,Rac dungat
13,Animalia,"Orconectes virilis Hagen, 1870",Romanian,No common name
14,Animalia,"Oxyura jamaicensis Gmelin, 1789",Romanian,No common name
15,Animalia,"Pacifastacus leniusculus Dana, 1852",Romanian,Rac de California
16,Animalia,"Perccottus glenii Dybowski, 1877",Romanian,Rotan
17,Animalia,"Procambarus clarkii Girard, 1852",Romanian,Rac de Louisiana
18,Animalia,"Procambarus fallax (Hagen, 1870) f. virginalis",Romanian,Rac marmorat
19,Animalia,"Procyon lotor Linnaeus, 1758",Romanian,Raton
20,Animalia,"Pseudorasbora parva Temminck & Schlegel, 1846",Romanian,Murgoi bălțat
21,Animalia,"Sciurus carolinensis Gmelin, 1788",Romanian,Veveriță cenușie
22,Animalia,"Sciurus niger Linnaeus, 1758",Romanian,No common name
23,Animalia,"Tamias sibiricus Laxmann, 1769",Romanian,Veveriță siberiană
24,Animalia,"Threskiornis aethiopicus Latham, 1790",Romanian,No common name
25,Animalia,Trachemys scripta subsp. scripta,Romanian,Țestoasă de Florida cu tâmple galbene
26,Animalia,"Vespa velutina nigrithorax de Buysson, 1905",Romanian,No common name
27,Plantae,Alternanthera philoxeroides (Mart.) Griseb.,Romanian,No common name
28,Plantae,Asclepias syriaca L.,Romanian,No common name
29,Plantae,Baccharis halimifolia L.,Romanian,No common name
30,Plantae,Cabomba caroliniana Gray,Romanian,No common name
31,Plantae,Eichhornia crassipes (Martius) Solms,Romanian,Zambilă de apă
32,Plantae,Elodea nuttallii (Planch.) H. St. John,Romanian,No common name
33,Plantae,Gunnera tinctoria (Molina) Mirbel ,Romanian,No common name
34,Plantae,Heracleum mantegazzianum Sommier & Levier,Romanian,Crucea Pământului
35,Plantae,Heracleum persicum Fischer,Romanian,No common name
36,Plantae,Heracleum sosnowskyi Mandenova,Romanian,No common name
37,Plantae,Hydrocotyle ranunculoides L. f.,Romanian,No common name
38,Plantae,Impatiens glandulifera Royle,Romanian,No common name
39,Plantae,Lagarosiphon major (Ridley) Moss,Romanian,No common name
40,Plantae,Ludwigia grandiflora (Michx.) Greuter & Burdet,Romanian,No common name
41,Plantae,Ludwigia peploides (Kunth) P.H. Raven,Romanian,No common name
42,Plantae,Lysichiton americanus Hultén and St. John,Romanian,No common name
43,Plantae,Microstegium vimineum (Trin.) A.Camus,Romanian,No common name
44,Plantae,Myriophyllum aquaticum (Vell.) Verdc.,Romanian,No common name
45,Plantae,Myriophyllum heterophyllum Michx.,Romanian,No common name
46,Plantae,Parthenium hysterophorus L.,Romanian,No common name
47,Plantae,Pennisetum setaceum (Forssk.) Chiov.,Romanian,"No common name, but unofficially known as 'Rubrum'"
48,Plantae,Persicaria perfoliata (L.) H. Gross (Polygonum perfoliatum L.),Romanian,No common name
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),Romanian,No common name
