no,kingdom,eu_name,language,common_name
1,Animalia,"Alopochen aegyptiaca Linnaeus, 1766",Swedish,nilgås
2,Animalia,"Callosciurus erythraeus Pallas, 1779",Swedish,pallasekorre
2,Animalia,"Callosciurus erythraeus Pallas, 1779",Swedish,Rödmagad trädekorre
3,Animalia,"Corvus splendens Viellot, 1817",Swedish,huskråka
4,Animalia,"Eriocheir sinensis H. Milne Edwards, 1854",Swedish,kinesisk ullhandskrabba
5,Animalia,"Herpestes javanicus É. Geoffroy Saint-Hilaire, 1818",Swedish,javanesisk mungo
6,Animalia,"Lithobates (Rana) catesbeianus Shaw, 1802",Swedish,oxgroda
7,Animalia,"Muntiacus reevesi Ogilby, 1839",Swedish,kinesisk (röd) muntjak
8,Animalia,"Myocastor coypus Molina, 1782",Swedish,sumpbäver
9,Animalia,"Nasua nasua Linnaeus, 1766",Swedish,vanlig näsbjörn
10,Animalia,Nyctereutes procyonoides Gray 1834,Swedish,mårdhund
11,Animalia,"Ondatra zibethicus (Linnaeus, 1766)",Swedish,bisam
12,Animalia,"Orconectes limosus Rafinesque, 1817",Swedish,amerikansk dvärgkräfta
13,Animalia,"Orconectes virilis Hagen, 1870",Swedish,gulvårtskräfta
14,Animalia,"Oxyura jamaicensis Gmelin, 1789",Swedish,amerikansk kopparand 
15,Animalia,"Pacifastacus leniusculus Dana, 1852",Swedish,signalkräfta
16,Animalia,"Perccottus glenii Dybowski, 1877",Swedish,amursömnfisk
17,Animalia,"Procambarus clarkii Girard, 1852",Swedish,röd sumpkräfta
18,Animalia,"Procambarus fallax (Hagen, 1870) f. virginalis",Swedish,marmorkräfta
19,Animalia,"Procyon lotor Linnaeus, 1758",Swedish,tvättbjörn
20,Animalia,"Pseudorasbora parva Temminck & Schlegel, 1846",Swedish,Bandslätting
21,Animalia,"Sciurus carolinensis Gmelin, 1788",Swedish,gråekorre
22,Animalia,"Sciurus niger Linnaeus, 1758",Swedish,östlig rävekorre
23,Animalia,"Tamias sibiricus Laxmann, 1769",Swedish,sibirisk jordekorre
24,Animalia,"Threskiornis aethiopicus Latham, 1790",Swedish,helig ibis
25,Animalia,Trachemys scripta subsp. scripta,Swedish, gulbukig
25,Animalia,"Trachemys scripta Schoepff, 1792",Swedish,Gulbukig vattensköldpadda
25,Animalia,Trachemys scripta  subsp. elegans,Swedish,rödörad
25,Animalia,"Trachemys scripta Schoepff, 1792",Swedish,rödörad
25,Animalia,Trachemys scripta  subsp. troostii,Swedish,samt gulörad
26,Animalia,"Vespa velutina nigrithorax de Buysson, 1905",Swedish,sammetsgeting
27,Plantae,Alternanthera philoxeroides (Mart.) Griseb.,Swedish,no common name
28,Plantae,Asclepias syriaca L.,Swedish,sidenört
29,Plantae,Baccharis halimifolia L.,Swedish,saltbaccharis
30,Plantae,Cabomba caroliniana Gray,Swedish,kabomba
31,Plantae,Eichhornia crassipes (Martius) Solms,Swedish,vattenhyacint
32,Plantae,Elodea nuttallii (Planch.) H. St. John,Swedish,smal vattenpest
33,Plantae,Gunnera tinctoria (Molina) Mirbel ,Swedish,röd jättegunnera
34,Plantae,Heracleum mantegazzianum Sommier & Levier,Swedish,jätteloka
35,Plantae,Heracleum persicum Fischer,Swedish,tromsöloka
36,Plantae,Heracleum sosnowskyi Mandenova,Swedish,bredloka
37,Plantae,Hydrocotyle ranunculoides L. f.,Swedish,"flytspikblad, penningablad"
38,Plantae,Impatiens glandulifera Royle,Swedish,jättebalsamin
39,Plantae,Lagarosiphon major (Ridley) Moss,Swedish,afrikansk vattenpest
40,Plantae,Ludwigia grandiflora (Michx.) Greuter & Burdet,Swedish,storblommig ludwigia
41,Plantae,Ludwigia peploides (Kunth) P.H. Raven,Swedish,krypludwigia
42,Plantae,Lysichiton americanus Hultén and St. John,Swedish,gul skunkkalla
43,Plantae,Microstegium vimineum (Trin.) A.Camus,Swedish,japanskt styltgräs
44,Plantae,Myriophyllum aquaticum (Vell.) Verdc.,Swedish,storslinga
45,Plantae,Parthenium hysterophorus L.,Swedish,flikpartenium
46,Plantae,Pennisetum setaceum (Forssk.) Chiov.,Swedish,fjäderborstgräs
47,Plantae,Persicaria perfoliata (L.) H. Gross (Polygonum perfoliatum L.),Swedish,gisselpilört
48,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),Swedish,japansk arrowrot
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),Swedish,kudzoböna
