no,kingdom,eu_name,language,common_name
1,Animalia,"Alopochen aegyptiaca Linnaeus, 1766",Slovenian,nilska gos
2,Animalia,"Callosciurus erythraeus Pallas, 1779",Slovenian,Pallasova veverica lepotka
3,Animalia,"Corvus splendens Viellot, 1817",Slovenian,domača vrana
4,Animalia,"Eriocheir sinensis H. Milne Edwards, 1854",Slovenian,kitajska volnoklešča rakovica
5,Animalia,"Herpestes javanicus É. Geoffroy Saint-Hilaire, 1818",Slovenian,mali indijski mungo
6,Animalia,"Lithobates (Rana) catesbeianus Shaw, 1802",Slovenian,volovska žaba
7,Animalia,"Muntiacus reevesi Ogilby, 1839",Slovenian,muntjak
8,Animalia,"Myocastor coypus Molina, 1782",Slovenian,nutrija
9,Animalia,"Nasua nasua Linnaeus, 1766",Slovenian,nosati medvedek
10,Animalia,Nyctereutes procyonoides Gray 1834,Slovenian,rakunasti pes
11,Animalia,"Ondatra zibethicus (Linnaeus, 1766)",Slovenian,pižmovka
12,Animalia,"Orconectes limosus Rafinesque, 1817",Slovenian,trnavec
13,Animalia,"Orconectes virilis Hagen, 1870",Slovenian,bradavičasti trnavec
14,Animalia,"Oxyura jamaicensis Gmelin, 1789",Slovenian,belolična trdorepka
15,Animalia,"Pacifastacus leniusculus Dana, 1852",Slovenian,signalni rak
16,Animalia,"Perccottus glenii Dybowski, 1877",Slovenian,kitajska sladkovodna dremavka
17,Animalia,"Procambarus clarkii Girard, 1852",Slovenian,močvirski škarjar
18,Animalia,"Procambarus fallax (Hagen, 1870) f. virginalis",Slovenian,marmornati škarjar
19,Animalia,"Procyon lotor Linnaeus, 1758",Slovenian,severnoameriški rakun
20,Animalia,"Pseudorasbora parva Temminck & Schlegel, 1846",Slovenian,psevdorazbora
21,Animalia,"Sciurus carolinensis Gmelin, 1788",Slovenian,siva veverica
22,Animalia,"Sciurus niger Linnaeus, 1758",Slovenian,lisičja veverica
23,Animalia,"Tamias sibiricus Laxmann, 1769",Slovenian,sibirski burunduk
24,Animalia,"Threskiornis aethiopicus Latham, 1790",Slovenian,sveti ibis
25,Animalia,"Trachemys scripta Schoepff, 1792",Slovenian,popisana sklednica
26,Animalia,"Vespa velutina nigrithorax de Buysson, 1905",Slovenian,azijski sršen
27,Plantae,Alternanthera philoxeroides (Mart.) Griseb.,Slovenian,aligatorska alternantera
28,Plantae,Asclepias syriaca L.,Slovenian,sirska svilnica
29,Plantae,Baccharis halimifolia L.,Slovenian,vzhodni bakaris
30,Plantae,Cabomba caroliniana Gray,Slovenian,zelena kabomba
31,Plantae,Eichhornia crassipes (Martius) Solms,Slovenian,vodna hijacinta
32,Plantae,Elodea nuttallii (Planch.) H. St. John,Slovenian,zahodna račja zel
33,Plantae,Gunnera tinctoria (Molina) Mirbel ,Slovenian,čilenska gunera
34,Plantae,Heracleum mantegazzianum Sommier & Levier,Slovenian,orjaški dežen
35,Plantae,Heracleum persicum Fischer,Slovenian,perzijski dežen
36,Plantae,Heracleum sosnowskyi Mandenova,Slovenian,sosnovskijev dežen 
37,Plantae,Hydrocotyle ranunculoides L. f.,Slovenian,plavajoči popnjak
38,Plantae,Impatiens glandulifera Royle,Slovenian,žlezava nedotika
39,Plantae,Lagarosiphon major (Ridley) Moss,Slovenian,kodrasta vodna zel
40,Plantae,Ludwigia grandiflora (Michx.) Greuter & Burdet,Slovenian,velikocvetna ludvigija
41,Plantae,Ludwigia peploides (Kunth) P.H. Raven,Slovenian,plazeča ludvigija
42,Plantae,Lysichiton americanus Hultén and St. John,Slovenian,ameriški lizihiton
43,Plantae,Microstegium vimineum (Trin.) A.Camus,Slovenian,pletarska hoduljevka
44,Plantae,Myriophyllum aquaticum (Vell.) Verdc.,Slovenian,brazilski rmanec
45,Plantae,Myriophyllum heterophyllum Michx.,Slovenian,raznolistni rmanec
46,Plantae,Parthenium hysterophorus L.,Slovenian,ameriški ščetinasti vratič
47,Plantae,Pennisetum setaceum (Forssk.) Chiov.,Slovenian,rdečelistna ščetinasta perjanka
48,Plantae,Persicaria perfoliata (L.) H. Gross (Polygonum perfoliatum L.),Slovenian,plezajoča dresen
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),Slovenian,gorski fižol
