no,kingdom,eu_name,language,common_name
1,Animalia,"Alopochen aegyptiaca Linnaeus, 1766",Slovak,húska štíhla
2,Animalia,"Callosciurus erythraeus Pallas, 1779",Slovak,veverica červenkavá
3,Animalia,"Corvus splendens Viellot, 1817",Slovak,vrana lesklá
4,Animalia,"Eriocheir sinensis H. Milne Edwards, 1854",Slovak, krab čínsky
5,Animalia,"Herpestes javanicus É. Geoffroy Saint-Hilaire, 1818",Slovak,mungo geoffroyov
6,Animalia,"Lithobates (Rana) catesbeianus Shaw, 1802",Slovak,skokan volský
7,Animalia,"Muntiacus reevesi Ogilby, 1839",Slovak,mundžak malý
8,Animalia,"Myocastor coypus Molina, 1782",Slovak,nutria vodná/riečna
9,Animalia,"Nasua nasua Linnaeus, 1766",Slovak,nosáľ červený 
10,Animalia,Nyctereutes procyonoides Gray 1834,Slovak,psík medvedíkovitý
11,Animalia,"Ondatra zibethicus (Linnaeus, 1766)",Slovak,ondatra pižmová
12,Animalia,"Orconectes limosus Rafinesque, 1817",Slovak,rak pruhovaný
13,Animalia,"Orconectes virilis Hagen, 1870",Slovak,rak severný
14,Animalia,"Oxyura jamaicensis Gmelin, 1789",Slovak,potápnica bielolíca
15,Animalia,"Pacifastacus leniusculus Dana, 1852",Slovak,rak signálny
16,Animalia,"Perccottus glenii Dybowski, 1877",Slovak,býčkovec amurský
17,Animalia,"Procambarus clarkii Girard, 1852",Slovak,rak červený
18,Animalia,"Procambarus fallax (Hagen, 1870) f. virginalis",Slovak,rak mramorový
19,Animalia,"Procyon lotor Linnaeus, 1758",Slovak,medvedík čistotný
20,Animalia,"Pseudorasbora parva Temminck & Schlegel, 1846",Slovak,hrúzovec sieťovaný
21,Animalia,"Sciurus carolinensis Gmelin, 1788",Slovak,veverica sivá
22,Animalia,"Sciurus niger Linnaeus, 1758",Slovak,veverica líščia
23,Animalia,"Tamias sibiricus Laxmann, 1769",Slovak,burunduk pruhovaný
24,Animalia,"Threskiornis aethiopicus Latham, 1790",Slovak,ibis posvätný
25,Animalia,"Trachemys scripta Schoepff, 1792",Slovak,korytnačka písmenková
26,Animalia,"Vespa velutina nigrithorax de Buysson, 1905",Slovak,sršeň ázijský
27,Plantae,Alternanthera philoxeroides (Mart.) Griseb.,Slovak,papagájovec
28,Plantae,Asclepias syriaca L.,Slovak,glejovka americká 
29,Plantae,Baccharis halimifolia L.,Slovak,no common name
30,Plantae,Cabomba caroliniana Gray,Slovak,kabomba karolínska 
31,Plantae,Eichhornia crassipes (Martius) Solms,Slovak,eichhornia nafúknutá 
31,Plantae,Eichhornia crassipes (Martius) Solms,Slovak,vodný hyacint
32,Plantae,Elodea nuttallii (Planch.) H. St. John,Slovak,vodomor Nuttallov
33,Plantae,Gunnera tinctoria (Molina) Mirbel ,Slovak,gunera farbiarska
34,Plantae,Heracleum mantegazzianum Sommier & Levier,Slovak,boľševník obrovský
35,Plantae,Heracleum persicum Fischer,Slovak,boľševník perzský
36,Plantae,Heracleum sosnowskyi Mandenova,Slovak,boľševník Sosnowského
37,Plantae,Hydrocotyle ranunculoides L. f.,Slovak,pupkovník iskerníkovitý
38,Plantae,Impatiens glandulifera Royle,Slovak,netýkavka žliazkatá
39,Plantae,Lagarosiphon major (Ridley) Moss,Slovak,"sifónovec machovitý (Červenka, M. a kol., 1986)"
41,Plantae,Ludwigia peploides (Kunth) P.H. Raven,Slovak,ludvigia 
42,Plantae,Lysichiton americanus Hultén and St. John,Slovak,no common name
43,Plantae,Microstegium vimineum (Trin.) A.Camus,Slovak,no common name
44,Plantae,Myriophyllum aquaticum (Vell.) Verdc.,Slovak,stolístok vodný
45,Plantae,Myriophyllum heterophyllum Michx.,Slovak,stolístok  
46,Plantae,Parthenium hysterophorus L.,Slovak,no common name
47,Plantae,Pennisetum setaceum (Forssk.) Chiov.,Slovak,perovec veľkokvetý 
48,Plantae,Persicaria perfoliata (L.) H. Gross (Polygonum perfoliatum L.),Slovak,horčiak (Marhold et Hindák 1998)   only name of the genus 
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),Slovak,puerária horská laločnatá (puerária laločnatá)
