no,kingdom,eu_name,language,common_name
1,Animalia,"Alopochen aegyptiaca Linnaeus, 1766",English,Egyptian Goose
1,Animalia,"Alopochen aegyptiaca Linnaeus, 1766",English,Nil goose
2,Animalia,"Callosciurus erythraeus Pallas, 1779",English,Pallas's Squirrel
3,Animalia,"Corvus splendens Viellot, 1817",English,Ceylon Crow
3,Animalia,"Corvus splendens Viellot, 1817",English,Grez-necked Crow
3,Animalia,"Corvus splendens Viellot, 1817",English,House Crow
3,Animalia,"Corvus splendens Viellot, 1817",English,Indian Crow
3,Animalia,"Corvus splendens Viellot, 1817",English,Indian House Crow
3,Animalia,"Corvus splendens Viellot, 1817",English,Town Crow
4,Animalia,"Eriocheir sinensis H. Milne Edwards, 1854",English,Chinese freshwater edible crab
4,Animalia,"Eriocheir sinensis H. Milne Edwards, 1854",English,Chinese mitten crab
4,Animalia,"Eriocheir sinensis H. Milne Edwards, 1854",English,Shanghai hairy crab
5,Animalia,"Herpestes javanicus É. Geoffroy Saint-Hilaire, 1818",English,Javan Mongoose
5,Animalia,"Herpestes javanicus É. Geoffroy Saint-Hilaire, 1818",English,Small Indian mongoose
6,Animalia,"Lithobates (Rana) catesbeianus Shaw, 1802",English,American Bullfrog
6,Animalia,"Lithobates (Rana) catesbeianus Shaw, 1802",English,Bullfrog
6,Animalia,"Lithobates (Rana) catesbeianus Shaw, 1802",English,Common Bullfrog 
7,Animalia,"Muntiacus reevesi Ogilby, 1839",English,"Chinese Muntjak,"
7,Animalia,"Muntiacus reevesi Ogilby, 1839",English,Formosan Reeves' Muntjac
7,Animalia,"Muntiacus reevesi Ogilby, 1839",English,Reeve’s Muntjac
7,Animalia,"Muntiacus reevesi Ogilby, 1839",English,Reeves' Muntjac
7,Animalia,"Muntiacus reevesi Ogilby, 1839",English,Reeves's muntjac
8,Animalia,"Myocastor coypus Molina, 1782",English,Coypu
8,Animalia,"Myocastor coypus Molina, 1782",English,Nutria
9,Animalia,"Nasua nasua Linnaeus, 1766",English,South American Coati
10,Animalia,Nyctereutes procyonoides Gray 1834,English,Raccoon Dog
10,Animalia,Nyctereutes procyonoides Gray 1834,English,Tanuki
11,Animalia,"Ondatra zibethicus (Linnaeus, 1766)",English,Common Muskrat
