row_number,country,MSscientificName,cName,EASINcode,EASINscientificName,SpeciesCode,entryForWebform
1,EE,Acroptilon repens,,R12919,Rhaponticum repens,R12919,Rhaponticum repens = Acroptilon repens
2,EE,Ambrosia spp.,,,,N00001,Ambrosia spp.
3,EE,Ameiurus melas,,R00826,,R00826,Ameiurus melas
4,EE,Ameiurus nebulosus,,R00828,,R00828,Ameiurus nebulosus
5,EE,Astacus leptodactylus,,R01586,,R01586,Astacus leptodactylus
6,EE,Bidens frondosa,,R18515,,R18515,Bidens frondosa
7,EE,Castor canadensis,,R02919,,R02919,Castor canadensis
8,EE,Cervus nippon,,R03227,,R03227,Cervus nippon
9,EE,Dama dama,,R04810,,R04810,Dama dama
10,EE,Egeria densa,,R05431,,R05431,Egeria densa
11,EE,Elodea nuttallii,,R05501,,R05501,Elodea nuttallii
12,EE,Heracleum mantegazzianum,,R07248,,R07248,Heracleum mantegazzianum
13,EE,Heracleum sosnowskyi,,R07252,,R07252,Heracleum sosnowskyi
14,EE,Impatiens glandulifera,,R07719,,R07719,Impatiens glandulifera
15,EE,Lepomis auritus,,R08374,,R08374,Lepomis auritus
16,EE,Lepomis gibbosus,,R08376,,R08376,Lepomis gibbosus
17,EE,Lepomis macrochirus,,,,,Lepomis macrochirus
18,EE,Lutra canadensis,,,,,Lutra canadensis
19,EE,Mustela vison,,R09952,Neovison vison,R09952,Neovison vison = Mustela vison
20,EE,Neogobius fluviatilis,,R09924,,R09924,Neogobius fluviatilis
21,EE,Neogobius gymnotrachelus,,R09927,,R09927,Neogobius gymnotrachelus
22,EE,Nyctereutes procyonoides,,R10085,,R10085,Nyctereutes procyonoides
23,EE,Odocoileus virginianus,,R10135,,R10135,Odocoileus virginianus
24,EE,Ondatra zibethicus,,R10336,,R10336,Ondatra zibethicus
25,EE,Opsariichthys uncirostris,,,,,Opsariichthys uncirostris
26,EE,Orconectes limosus,,R10443,,R10443,Orconectes limosus
27,EE,Oryctolagus cuniculus,,R10532,,R10532,Oryctolagus cuniculus
28,EE,Ovis ammon,,,,,Ovis ammon
