country,name
DE,Donau - Donau (BY)
DE,Rhein - Mittelrhein
DE,Rhein - Niederrhein
DE,Rhein - Deltarhein
DE,Rhein - Main
DE,Rhein - Mosel/Saar
DE,Rhein - Bodensee/Alpenrhein
DE,Rhein - Neckar
DE,Rhein - Hochrhein
DE,Rhein - Oberrhein
DE,"Ems - Obere Ems, Ems/Nordradde, Hase"
DE,"Ems - Leda-Jümme, Untere Ems, Ems-Ästuar"
DE,Weser - Werra
DE,Weser - Fulda/Diemel
DE,Weser - Weser
DE,Weser - Leine
DE,Weser - Tide-Weser
DE,Weser - Aller
DE,Elbe - Mittlere Elbe/Elde
DE,Elbe - KOR HAV
DE,Elbe - Mulde-Elbe-Schwarze Elster
DE,Elbe - Tideelbe
DE,"Elbe - Saale, Obere Moldau, Berounka, Eger und Untere Elbe"
DE,Oder
DE,Maas
DE,Eider
DE,Schlei/Trave
DE,Warnow/Peene
ES,MINHO-SIL RIVER BASIN DISTRICT
ES,GALICIAN COAST
ES,EASTERN CANTABRIAN
ES,WESTERN CANTABRIAN
ES,DOURO
ES,TAGUS
ES,MELILLA
ES,LANZAROTE
ES,TENERIFE
ES,LA PALMA
ES,THE GOMERA
ES,EL HIERRO
ES,CEUTA
ES,JUCAR
ES,EBRO
ES,CATALAN RIVER BASIN DISTRICT
ES,BALEARIC ISLANDS
ES,GRAN CANARIA
ES,FUERTEVENTURA
ES,GUADIANA
ES,GUADALQUIVIR
ES,ANDALUSIA MEDITERRANEAN BASINS
ES,GUADALETE AND BARBATE
ES,"TINTO, ODIEL AND PIEDRAS"
ES,SEGURA
SE,1. Bothnian Bay (International drainage basin Nordland - Sweden)
SE,1. Bothnian Bay (International drainage basin Troms - Sweden)
SE,1. Bothnian Bay (International district Torne river - Sweden)
SE,1. Bothnian Bay (Sweden)
SE,2. Bothnian Sea (International drainage basin Trondelagsfylkene - Sweden)
SE,2. Bothnian Sea (Sweden)
SE,3. North Baltic Sea (Sweden)
SE,4. South Baltic Sea (Sweden)
SE,5. Skagerrak and Kattegat (International drainage basin Glomma - Sweden)
SE,5. Skagerrak and Kattegat (Sweden)
AT,Danube
AT,Rhine
AT,Elbe
BE,Scheldt
BE,Scheldt
BE,Meuse
BE,Meuse
BE,Scheldt
BE,Rhine
BE,Scheldt
BE,Seine
BG,Danube River Basin District
BG,Black Sea River Basin District
BG,East Aegean River Basin District
BG,West Aegean River Basin District
CY,Cyprus
CZ,Danube - Other tributaries of the Danube
CZ,Danube - Dyje
CZ,Danube - Morava and tributaries of the Váh
CZ,Elbe - Berounka
CZ,Elbe - Lower Vltava
CZ,Elbe - Upper and middle Elbe
CZ,Elbe - Upper Vltava
CZ,"Elbe - Ohře, lower Elbe and other tributaries of the Elbe"
CZ,Odra - Upper Odra
CZ,Odra - Lužická Nisa and other tributaries of the Odra
DE,Donau - Donau (BY)
DE,Rhein - Mittelrhein
DE,Rhein - Niederrhein
DE,Rhein - Deltarhein
DE,Rhein - Main
DE,Rhein - Mosel/Saar
DE,Rhein - Bodensee/Alpenrhein
DE,Rhein - Neckar
DE,Rhein - Hochrhein
DE,Rhein - Oberrhein
DE,"Ems - Obere Ems, Ems/Nordradde, Hase"
DE,"Ems - Leda-Jümme, Untere Ems, Ems-Ästuar"
DE,Weser - Werra
DE,Weser - Fulda/Diemel
DE,Weser - Weser
DE,Weser - Leine
DE,Weser - Tide-Weser
DE,Weser - Aller
DE,Elbe - Mittlere Elbe/Elde
DE,Elbe - KOR HAV
