name
Alopochen aegyptiaca 
Callosciurus erythraeus 
Corvus splendens 
Eriocheir sinensis 
Herpestes javanicus 
Lithobates (Rana) catesbeianus
Muntiacus reevesi 
Myocastor coypus
Nasua nasua
Ondatra zibethicus 
Orconectes limosus
Orconectes virilis 
Oxyura jamaicensis 
Pacifastacus leniusculus 
Perccottus glenii 
Procambarus clarkii 
Procambarus fallax  f. virginalis
Procyon lotor
Pseudorasbora parva 
Sciurus carolinensis 
Sciurus niger 
Tamias sibiricus 
Threskiornis aethiopicus 
Trachemys scripta 
Vespa velutina nigrithorax 
Alternanthera philoxeroides
Asclepias syriaca
Baccharis halimifolia 
Cabomba caroliniana 
Eichhornia crassipes 
Elodea nuttallii 
Gunnera tinctoria
Heracleum mantegazzianum 
Heracleum persicum 
Heracleum sosnowskyi
Hydrocotyle ranunculoides 
Impatiens glandulifera 
Lagarosiphon major 
Ludwigia grandiflora
Ludwigia peploides
Lysichiton americanus 
Microstegium vimineum 
Myriophyllum aquaticum 
Myriophyllum heterophyllum 
Parthenium hysterophorus 
Pennisetum setaceum 
Persicaria perfoliata (Polygonum perfoliatum L.)
Pueraria montana var. lobata 
